year,total_supervision_cases_handled,supervision_refferals_received,completed_supervision_cases_final_release_and_discharge,completed_supervision_cases_final_release_and_discharge_in_percent,completed_supervision_cases_arrested_or_recommitted,completed_supervision_cases_arrested_or_recommitted_in_percent,completed_supervision_cases_died,completed_supervision_cases_died_in_percent,completed_supervision_cases_others,completed_supervision_cases_others_in_percent,completed_supervision_cases_total,completed_supervision_cases_total_in_percent
1989,0,0,0,0,0,0,0,0,0,0,0,0
1990,1198,1185,23,1.92,3,0.25,5,0.42,6,0.5,37,3.09
1991,1749,611,110,6.29,16,0.91,9,0.52,10,0.57,145,8.29
1992,2638,1033,187,7.09,60,2.27,19,0.72,3,0.11,269,10.2
1993,2861,533,278,9.72,63,2.2,16,0.56,3,0.1,360,12.58
1994,2878,518,233,8.1,105,3.65,28,0.97,6,0.21,372,12.92
1995,2574,217,208,8.08,79,3.07,30,1.16,7,0.27,324,12.59
1996,3589,1339,368,10.25,104,2.9,41,1.14,96,2.67,609,16.97
1997,1973,122,236,11.96,65,3.29,18,0.91,45,2.28,364,18.45
1998,2256,639,132,5.85,35,1.55,11,0.49,80,3.55,258,11.44
1999,2226,287,178,8,23,1.03,14,0.63,60,2.7,275,12.35
2000,2285,401,149,6.52,14,0.61,11,0.48,67,2.93,241,10.55
2001,2230,199,166,7.44,42,1.88,6,0.27,42,1.88,256,11.48
2002,2057,63,234,3.06,40,1.94,16,0.78,50,2.43,340,16.53
2003,1705,40,120,7.04,30,1.76,9,0.53,18,1.06,177,10.38
2004,1670,135,135,8.08,33,1.98,18,1.08,42,2.51,228,13.65
2005,1424,83,151,10.6,24,1.68,20,1.4,20,1.4,215,15.1
2006,1143,25,147,12.86,9,0.79,13,1.14,7,0.61,176,15.4
2007,998,36,142,14.23,13,1.3,11,1.1,12,1.2,178,17.84
2008,852,66,49,5.75,4,0.47,13,1.52,8,0.94,74,8.68
2009,1056,282,39,3.69,4,0.38,6,0.57,6,0.57,55,5.21
2010,627,14,46,7.34,8,1.28,9,1.44,2,0.32,65,10.37
2011,551,0,42,7.62,0,0,10,1.81,1,0.18,53,9.62
2012,516,6,23,4.46,8,1.55,4,0.78,31,6,66,12.79
2013,408,13,18,4.41,2,0.49,3,0.73,1,0.24,24,5.88
Total/Average ,41464,7847,3414,7.21,784,1.49,340,0.85,623,1.41,5161,2.52
