political_party_coalitions_or_sectoral_organizations,acronym,grand_total,percentage_of_total_votes_garnered
Buhay Hayaan Yumabong,BUHAY,1270608,-
Advocacy for Teacher Empowerment through Action Cooperation and Harmony Towards Educational Reforms,A TEACHER,1042863,-
Bayan Muna,Bayan Muna,954724,-
"1st Consumers Alliance for Rural Energy, Inc.",1-CARE,934915,-
Akbayan Citizens' Action Party,AKBAYAN,829149,-
Abono Party-List,ABONO,768265,-
Ako Bicol Political Party,AKB,763316,-
"Ofw Family Club, Inc.",OFW FAMILY,752229,-
Gabriela Women's Party,GABRIELA,715250,-
Coalition Of Association Of Senior Citizens In The Philippines,SENIOR CITIZENS,679168,-
Cooperative NATCOO Network Party,COOP-NATCCO,642005,-
Agricultural Sector Alliance Of The Philippines,AGAP,592463,-
Citizens' Battle Against Corruption,CIBAC,584906,-
Magdalo Para Sa Pilipino,MAGDALO,567426,-
An Waray,AN WARAY,541205,-
"Abante Mindanao, Inc.",ABAMIN,466114,-
Act Teachers Party-List,ACT TEACHERS,454346,-
Butil Farmers Party,BUTIL,439557,-
Anak Mindanao Party-List,AMIN,382267,-
"Anti-Crime and Terrorism Community Involvement and Support, Inc.",ACT-CIS,377165,-
"Kalinga-Advocacy for Social Empowerment and Nation-Building through Easing Poverty, Inc.",KALINGA,372383,-
"LPG Marketers Association, Inc",LPGMA,370897,-
Trade Union Congress Party,TUCP,369286,-
You Against Corruption and Poverty,YACAP,366621,-
Agri-Agra na Reforma para sa Magsasaka ng Pilipinas Movement,AGRI,366170,-
"Angkla: Ang Partido ng mga Pilipinong Marino, Inc",ANGKLA,360497,-
Arts Business and Science Professionals,ABS,359587,-
"Democratic Independent Workers Association, Inc.",DIWA,341820,-
Kabataan Party-List,KABATAAN,341292,-
Anakpawis,ANAKPAWIS,321745,-
"Alay Buhay Community Development Foundation, Inc.",ALAY BUHAY,317355,-
"Ang Asosasyon sang Mangunguma nga Bisaya-Owa Mangunguma, Inc.",AAMBIS-OWA,312312,-
Social Amelioration and Genuine Intervention an Poverty,1-SAGIP,287739,-
Alliance of Volunteer Educators,AVE,270431,-
Adhikaing Tinataguyod ng Kooperatiba,ATING KOOP,267763,-
"Abang Lingkod, Inc.",ABANG LINGKOD,260923,-
1 Banat and Ahapo Party-List Coalition,1-BAP,245529,-
Abakada-Guro,ABAKADA,244754,-
Ang Mata'y Alagaan,AMA,244026,-
"Ang Nars, Inc.",ANG NARS,243360,-
