station,line,january,february,march,april,may,june,july,august,september,october,november,december,2014_total,monthly_average
Tutuban,Metro South Commuter,179245,171657,197375,173455,213547,179768,172973,174584,171551,197052,206336,235250,2272793,189399
Blumentritt,Metro South Commuter,158857,161178,185937,157186,159137,143414,152144,143088,142596,144359,148896,135888,1832680,152723
Laong-Laan,Metro South Commuter,60967,49924,54774,48819,54131,49714,52980,51959,52861,57137,54607,52324,640197,53350
Espana,Metro South Commuter,150904,145564,167269,152085,166710,151336,153159,149612,147550,155003,144379,141232,1824803,152067
Sta. Mesa,Metro South Commuter,165898,169333,187266,142194,154481,166933,189380,179962,177122,158524,178905,146866,2016864,168072
Pandacan,Metro South Commuter,45607,444268,50957,44096,48265,43034,46088,43536,43279,45316,45474,45646,945566,78797
Paco,Metro South Commuter,65144,64645,75878,66013,71300,64128,65806,65074,65359,69333,67285,66466,806431,67203
San Andres,Metro South Commuter,43471,42884,49328,42744,62852,41318,41588,42381,42235,45335,43207,41649,538992,44916
Vito Cruz,Metro South Commuter,37426,38225,46285,55347,44401,41996,45514,43714,45436,46309,45224,42865,532742,44395
Buendia,Metro South Commuter,155179,167425,201200,179505,179618,158871,166441,154426,158740,169140,165425,145863,2001833,166819
Pasay Road,Metro South Commuter,82692,82165,96829,87151,87757,83513,89948,88784,89831,93059,92145,81545,1055419,87952
EDSA,Metro South Commuter,64123,64845,78578,74937,74052,63772,74416,65026,69610,71115,71173,54756,826403,68867
Nichols,Metro South Commuter,56195,55809,63454,56182,59766,57303,62454,59654,59446,66045,66076,59539,721923,60160
Food Terminal II,Metro South Commuter,144125,138384,159472,138189,148751,139152,140972,137299,135503,144021,151083,155338,1732289,144357
Bicutan,Metro South Commuter,164552,164384,188719,162003,171175,161774,153839,156692,160135,163079,160586,178123,1985061,165422
Sucat,Metro South Commuter,89104,88807,103115,89385,97477,90029,92793,97140,95149,101501,105711,103721,1153932,96161
Alabang,Metro South Commuter,306621,276454,305176,265156,300147,269642,260364,252227,248082,253578,281848,281848,3301143,275095
Muntinlupa,Metro South Commuter,2979,2892,3167,2778,3221,3663,5141,3908,2711,2982,3705,3876,41023,3419
"San Pedro, Laguna",Metro South Commuter,5265,4585,5188,7772,5983,5899,6425,6803,4943,5595,5569,5728,69755,5813
Biñan,Metro South Commuter,3255,2373,4196,3243,3751,3745,3579,4426,3353,3798,4394,5237,45350,3779
"Sta. Rosa, Laguna",Metro South Commuter,3331,4097,6429,4834,5679,5608,5985,6351,4302,5100,5658,7639,65013,5418
Cabuyao,Metro South Commuter,0,0,0,37,980,1696,1933,3373,2050,2324,2577,2513,17483,1943
Mamatid,Metro South Commuter,0,0,0,67,3373,6550,5779,7683,5932,7034,7618,7609,51645,5738
Calamba,Metro South Commuter,0,0,0,0,0,0,0,0,0,0,0,8645,8645,8645
Train Conductor,Metro South Commuter,5391,7028,7303,7861,7238,7658,7149,6944,11743,12936,11999,19296,112546,9379
Naga,Bicol Commuter,15798,15048,16254,14010,16252,15646,13711,16425,17392,16146,17200,14707,188589,15716
Pamplona,Bicol Commuter,3950,3762,4064,3503,4063,3911,3428,4106,4348,4037,4300,3677,47149,3929
Libmanan,Bicol Commuter,7899,7524,8127,7005,8126,7823,6856,8213,8696,8073,10750,7535,96627,8052
Sipocot,Bicol Commuter,9874,9405,10159,8756,10158,9779,8570,10266,10870,10091,8600,9010,115538,9628
Flagstops,Bicol Commuter,1975,1881,2032,1751,2032,1956,1714,2053,2174,2018,2150,1838,23574,1965
