bank_office_type,bank_type,bank_type_2,2004_March,2004_June,2004_September,2004_December
Total Banks (Head Office + Other Offices),Total Banks,Total Banks Total,"7,509","7,570","7,593","7,612"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks Total,Universal and Commercial Banks,"4,306","4,338","4,344","4,329"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Universal Banks,"3,691","3,709","3,711","3,694"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Commercial Banks,615,629,633,635
Total Banks (Head Office + Other Offices),Thrift Banks,Thrift Banks Total,"1,265","1,266","1,264","1,280"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural and Cooperative Banks Total,"1,938","1,966","1,985","2,003"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural Banks,"1,835","1,862","1,881","1,897"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Cooperative Banks,103,104,104,106
Head Office,Head Office,Head Office Total,897,896,896,893
Head Office,Universal and Commercial Banks,Universal and Commercial Banks Total,42,42,42,42
Head Office,Universal and Commercial Banks,Universal Banks,18,18,18,18
Head Office,Universal and Commercial Banks,Commercial Banks,24,24,24,24
Head Office,Thrift Banks,Thrift Banks Total,90,89,89,87
Head Office,Rural and Cooperative Banks,Rural and Cooperative Banks Total,765,765,765,764
Head Office,Rural and Cooperative Banks,Rural Banks,721,721,721,720
Head Office,Rural and Cooperative Banks,Cooperative Banks,44,44,44,44
Other Offices,Other Offices,Other Offices Total,"6,612","6,674","6,697","6,719"
Other Offices,Universal and Commercial Banks,Universal and Commercial Banks Total,"4,264","4,296","4,302","4,287"
Other Offices,Universal and Commercial Banks,Universal Banks,"3,673","3,691","3,693","3,676"
Other Offices,Universal and Commercial Banks,Commercial Banks,591,605,609,611
Other Offices,Thrift Banks,Thrift Banks Total,"1,175","1,177","1,175","1,193"
Other Offices,Rural and Cooperative Banks,,"1,173","1,201","1,220","1,239"
Other Offices,Rural and Cooperative Banks,Rural Banks,"1,114","1,141","1,160","1,177"
Other Offices,Rural and Cooperative Banks,Cooperative Banks,59,60,60,62
,,,,,,
Physical Network: Number of head office and other offices,,,,,,
As of end of periods indicated: 2004,,,,,,
Updated as of 29 December 2005,,,,,,
