bank_office_type,bank_type,bank_type_2,2005_March,2005_June,2005_September,2005_December,,,,
Total Banks (Head Office + Other Offices),Total Banks,Total Banks Total,"7,613","7,624","7,653","7,670",,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks Total,Universal and Commercial Banks,"4,332","4,316","4,322","4,318",,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Universal Banks,"3,696","3,686","3,689","3,683",,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Commercial Banks,636,630,633,635,,,,
Total Banks (Head Office + Other Offices),Thrift Banks,Thrift Banks Total,"1,266","1,280","1,279","1,293",,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural and Cooperative Banks Total,"2,015","2,028","2,052","2,059",,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural Banks,"1,908","1,921","1,944","1,951",,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Cooperative Banks,107,107,108,108,,,,
Head Office,Head Office,Head Office Total,882,881,881,879,,,,
Head Office,Universal and Commercial Banks,Universal and Commercial Banks Total,42,42,42,41,,,,
Head Office,Universal and Commercial Banks,Universal Banks,18,18,18,17,,,,
Head Office,Universal and Commercial Banks,Commercial Banks,24,24,24,24,,,,
Head Office,Thrift Banks,Thrift Banks Total,83,83,84,84,,,,
Head Office,Rural and Cooperative Banks,Rural and Cooperative Banks Total,757,756,755,754,,,,
Head Office,Rural and Cooperative Banks,Rural Banks,713,712,711,710,,,,
Head Office,Rural and Cooperative Banks,Cooperative Banks,44,44,44,44,,,,
Other Offices,Other Offices,Other Offices Total,"6,731","6,743","6,772","6,791",,,,
Other Offices,Universal and Commercial Banks,Universal and Commercial Banks Total,"4,290","4,274","4,280","4,277",,,,
Other Offices,Universal and Commercial Banks,Universal Banks,"3,678","3,668","3,671","3,666",,,,
Other Offices,Universal and Commercial Banks,Commercial Banks,612,606,609,611,,,,
Other Offices,Thrift Banks,Thrift Banks Total,"1,183","1,197","1,195","1,209",,,,
Other Offices,Rural and Cooperative Banks,,"1,258","1,272","1,297","1,305",,,,
Other Offices,Rural and Cooperative Banks,Rural Banks,"1,195","1,209","1,233","1,241",,,,
Other Offices,Rural and Cooperative Banks,Cooperative Banks,63,63,64,64,,,,
,,,,,,,,,,
Physical Network: Number of head office and other offices,,,,,,,,,,
As of end of periods indicated: 2005,,,,,,,,,,
,,,,,,,,,,
