Type of Financial Insitution,Type of Financial Insitution,Type of Financial Insitution,march_total,march_head_office,march_other_offices,june_total,june_head_office,june_other_offices,september_total,september_head_office,september_other_offices,december_total,december_head_office,december_other_offices
Bsp supervised/regulated fis,Bsp supervised/regulated fis,Bsp supervised/regulated fis total,"23,897 ","7,249 ","16,648 ","24,072 ","7,249 ","16,823 ","24,350 ","7,237 ","17,113 ","24,752 ","7,267 ","17,485 "
Banks,Banks,Banks Total,"8,663 ",779 ,"7,884 ","8,685 ",773 ,"7,912 ","8,740 ",764 ,"7,976 ","8,877 ",758 ,"8,119 "
Banks,Universal and commercial banks,Universal and commercial banks Total,"4,545 ",38 ,"4,507 ","4,596 ",38 ,"4,558 ","4,615 ",38 ,"4,577 ","4,681 ",38 ,"4,643 "
Banks,Universal and commercial banks,Universal banks,"4,019 ",19 ,"4,000 ","4,063 ",19 ,"4,044 ","4,077 ",19 ,"4,058 ","4,121 ",19 ,"4,102 "
Banks,Universal and commercial banks,    private domestic banks,"3,578 ",11 ,"3,567 ","3,621 ",11 ,"3,610 ","3,635 ",11 ,"3,624 ","3,674 ",11 ,"3,663 "
Banks,Universal and commercial banks,    government banks,424 ,3 ,421 ,425 ,3 ,422 ,425 ,3 ,422 ,430 ,3 ,427 
Banks,Universal and commercial banks,    branches of foreign banks,17 ,5 ,12 ,17 ,5 ,12 ,17 ,5 ,12 ,17 ,5 ,12 
Banks,Universal and commercial banks,Commercial banks,526 ,19 ,507 ,533 ,19 ,514 ,538 ,19 ,519 ,560 ,19 ,541 
Banks,Universal and commercial banks,    private domestic banks,441 ,7 ,434 ,444 ,7 ,437 ,450 ,8 ,442 ,472 ,8 ,464 
Banks,Universal and commercial banks,    subsidiaries of foreign banks,71 ,3 ,68 ,75 ,3 ,72 ,74 ,2 ,72 ,74 ,2 ,72 
Banks,Universal and commercial banks,    branches of foreign banks,14 ,9 ,5 ,14 ,9 ,5 ,14 ,9 ,5 ,14 ,9 ,5 
Banks,Thrift banks 1/,Thrift banks total,"1,339 ",74 ,"1,265 ","1,329 ",74 ,"1,255 ","1,395 ",73 ,"1,322 ","1,418 ",73 ,"1,345 "
Banks,Rural  and cooperative banks ,Rural  and cooperative banks  Total,"2,779 ",667 ,"2,112 ","2,760 ",661 ,"2,099 ","2,730 ",653 ,"2,077 ","2,778 ",647 ,"2,131 "
Banks,Rural  and cooperative banks ,Rural banks 1/,"2,617 ",624 ,"1,993 ","2,603 ",620 ,"1,983 ","2,571 ",613 ,"1,958 ","2,619 ",607 ,"2,012 "
Banks,Rural  and cooperative banks ,Cooperative banks,162 ,43 ,119 ,157 ,41 ,116 ,159 ,40 ,119 ,159 ,40 ,119 
Non-bank financial institutions,Non-bank financial institutions,Non-bank financial institutions total,"15,229 ","6,465 ","8,764 ","15,382 ","6,471 ","8,911 ","15,605 ","6,468 ","9,137 ","15,870 ","6,504 ","9,366 "
Non-bank financial institutions, with quasi-banking functions, with quasi-banking functions,37 ,14 ,23 ,37 ,14 ,23 ,38 ,15 ,23 ,38 ,15 ,23 
Non-bank financial institutions, without quasi-banking functions, without quasi-banking functions Total,"15,192 ","6,451 ","8,741 ","15,345 ","6,457 ","8,888 ","15,567 ","6,453 ","9,114 ","15,832 ","6,489 ","9,343 "
Non-bank financial institutions, without quasi-banking functions,Nsslas   2/,164 ,70 ,94 ,166 ,70 ,96 ,166 ,70 ,96 ,168 ,70 ,98 
Non-bank financial institutions, without quasi-banking functions,Pawnshops,"14,953 ","6,321 ","8,632 ","15,105 ","6,328 ","8,777 ","15,321 ","6,324 ","8,997 ","15,596 ","6,367 ","9,229 "
Non-bank financial institutions, without quasi-banking functions,Others,75 ,60 ,15 ,74 ,59 ,15 ,80 ,59 ,21 ,68 ,52 ,16 
Offshore banking units  ,Offshore banking units  ,Offshore banking units  ,5 ,5 ,0 ,5 ,5 ,0 ,5 ,5 ,0 ,5 ,5 ,0 
,,,,,,,,,,,,,,
Physical Network: Financial Institution under BSP supervision/regulation,,,,,,,,,,,,,,
As of end of periods indicated: 2010,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Updated as of 26 April 2011,,,,,,,,,,,,,,
1/ Including Microfinance-Oriented Banks,,,,,,,,,,,,,,
2/ Refers to non-stock savings and loan associations,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
