psgc_muni,pov_muni_year,pov_muni_measure,estimate,standard_error,coefficient_of_variation
150708000,2003,Incidence,-,-,-
150709000,2003,Incidence,-,-,-
150702000,2003,Incidence,24.87,6.1,24.5
150710000,2003,Incidence,-,-,-
150712000,2003,Incidence,-,-,-
150703000,2003,Incidence,39.97,7,17.5
150704000,2003,Incidence,39.9,8.32,20.9
150705000,2003,Incidence,43.29,8.31,19.2
150713000,2003,Incidence,-,-,-
150706000,2003,Incidence,44.54,6.99,15.7
150707000,2003,Incidence,39.94,6.27,15.7
150711000,2003,Incidence,-,-,-
153601000,2003,Incidence,37.96,7.76,20.4
153602000,2003,Incidence,54.91,6.34,11.5
153603000,2003,Incidence,41.41,7.52,18.2
153604000,2003,Incidence,38.71,6.37,16.5
153605000,2003,Incidence,51.34,5.97,11.6
153633000,2003,Incidence,25.85,9.39,36.3
153606000,2003,Incidence,30.95,7.7,24.9
153637000,2003,Incidence,58.9,8.71,14.8
153607000,2003,Incidence,55.09,9.01,16.4
153632000,2003,Incidence,61.48,6.91,11.2
153624000,2003,Incidence,37.23,8.21,22.1
153609000,2003,Incidence,51.32,6.7,13.1
153610000,2003,Incidence,60.22,7.34,12.2
153639000,2003,Incidence,59.61,8.02,13.5
153611000,2003,Incidence,35.21,8.15,23.1
153641000,2003,Incidence,-,-,-
153612000,2003,Incidence,56.8,6.47,11.4
153636000,2003,Incidence,46,8.76,19
153613000,2003,Incidence,58.13,5.41,9.3
153614000,2003,Incidence,50.61,6.28,12.4
153634000,2003,Incidence,38.11,8.81,23.1
153615000,2003,Incidence,46.84,5.32,11.4
153616000,2003,Incidence,38.39,7.03,18.3
153617000,2003,Incidence,28.91,7.21,24.9
153631000,2003,Incidence,60.47,7.46,12.3
153618000,2003,Incidence,38.25,7.11,18.6
153619000,2003,Incidence,34.93,8.19,23.4
153620000,2003,Incidence,59.26,8.39,14.2
153621000,2003,Incidence,58.46,6,10.3
153635000,2003,Incidence,65.73,7.28,11.1
153622000,2003,Incidence,40.2,7.93,19.7
153623000,2003,Incidence,58.68,6.79,11.6
153625000,2003,Incidence,37.7,8.15,21.6
153640000,2003,Incidence,55.52,13.22,23.8
153638000,2003,Incidence,58.12,7.43,12.8
153626000,2003,Incidence,48.63,6.05,12.4
153627000,2003,Incidence,27.91,9.65,34.6
153628000,2003,Incidence,65.21,7.55,11.6
153629000,2003,Incidence,37.11,9.41,25.4
153630000,2003,Incidence,39.59,6.62,16.7
153801000,2003,Incidence,39.01,7.47,19.1
153818000,2003,Incidence,51.28,10.54,20.6
153802000,2003,Incidence,50.69,8.09,16
153803000,2003,Incidence,44.25,8.63,19.5
153828000,2003,Incidence,-,-,-
153831000,2003,Incidence,-,-,-
153830000,2003,Incidence,-,-,-
153835000,2003,Incidence,-,-,-
153807000,2003,Incidence,39.06,5.53,14.2
153805000,2003,Incidence,46.76,7.21,15.4
153806000,2003,Incidence,46.1,6.02,13.1
153836000,2003,Incidence,-,-,-
153826000,2003,Incidence,-,-,-
153827000,2003,Incidence,-,-,-
153819000,2003,Incidence,54.55,7.93,14.5
