psgc_regn,pov_sect_year,pov_sect_sector,pov_reign_measure,estimate,coefficient_of_variation,lower_limit,upper_limit
130000000,2003,Women,Incidence,2.83616,13.56149,2.203444,3.468876
140000000,2003,Women,Incidence,21.19396,11.88563,17.05016,25.33776
10000000,2003,Women,Incidence,21.98758,8.024221,19.08526,24.8899
20000000,2003,Women,Incidence,18.51251,10.16551,15.4168,21.60822
30000000,2003,Women,Incidence,12.35089,9.115769,10.49882,14.20296
40000000,2003,Women,Incidence,12.19292,9.568658,10.2737,14.11214
170000000,2003,Women,Incidence,34.87344,6.834785,30.95255,38.79433
50000000,2003,Women,Incidence,44.31915,5.234873,40.50267,48.13563
60000000,2003,Women,Incidence,29.68798,7.200469,26.17151,33.20445
70000000,2003,Women,Incidence,34.97465,7.482193,30.6699,39.2794
80000000,2003,Women,Incidence,36.74794,6.013072,33.11302,40.38286
90000000,2003,Women,Incidence,45.5188,7.395504,39.98117,51.05643
100000000,2003,Women,Incidence,37.13497,7.427279,32.59786,41.67208
110000000,2003,Women,Incidence,30.2223,8.915164,25.79006,34.65454
120000000,2003,Women,Incidence,33.69829,7.720232,29.41867,37.97791
160000000,2003,Women,Incidence,32.31058,9.809236,27.09688,37.52428
150000000,2003,Women,Incidence,41.42545,6.925871,36.70583,46.14507
130000000,2006,Women,Incidence,4.32874,17.31,3.0961415,5.5613385
140000000,2006,Women,Incidence,27.89527,11.15429,22.7768196,33.0137204
10000000,2006,Women,Incidence,24.92796,8.214652,21.55941125,28.29650875
20000000,2006,Women,Incidence,26.29251,7.651195,22.98327995,29.60174005
30000000,2006,Women,Incidence,12.45463,8.673481,10.67761875,14.23164125
40000000,2006,Women,Incidence,10.23898,11.56371,8.29128355,12.18667645
170000000,2006,Women,Incidence,41.14304,7.014386,36.39568515,45.89039485
50000000,2006,Women,Incidence,43.06991,4.923697,39.58147365,46.55834635
60000000,2006,Women,Incidence,28.39047,6.966231,25.13707125,31.64386875
70000000,2006,Women,Incidence,34.45963,7.027019,30.4762954,38.4429646
80000000,2006,Women,Incidence,40.1546,5.890413,36.26373085,44.04546915
90000000,2006,Women,Incidence,45.01557,7.419796,39.5211713,50.5099687
100000000,2006,Women,Incidence,37.25255,6.719673,33.13470375,41.37039625
110000000,2006,Women,Incidence,29.82645,9.528137,25.15150805,34.50139195
120000000,2006,Women,Incidence,36.63887,6.339959,32.81771595,40.46002405
160000000,2006,Women,Incidence,48.5171,5.616065,44.03488625,52.99931375
150000000,2006,Women,Incidence,45.52312,7.117701,40.192991,50.853249
130000000,2009,Women,Incidence,3.59536,16.26262,2.6335285,4.5571915
140000000,2009,Women,Incidence,25.55253,12.52922,20.28601315,30.81904685
10000000,2009,Women,Incidence,21.67681,8.713471,18.569734,24.783886
20000000,2009,Women,Incidence,25.19498,8.966921,21.47857955,28.91138045
30000000,2009,Women,Incidence,13.35653,8.115851,11.57335,15.13971
40000000,2009,Women,Incidence,11.80785,9.808096,9.90272615,13.71297385
170000000,2009,Women,Incidence,35.27671,8.090057,30.58202805,39.97139195
50000000,2009,Women,Incidence,42.68538,5.117169,39.0922394,46.2785206
60000000,2009,Women,Incidence,28.80524,7.077331,25.4516772,32.1588028
70000000,2009,Women,Incidence,29.94201,7.62906,26.18435295,33.69966705
80000000,2009,Women,Incidence,41.95932,5.902387,37.885313,46.033327
90000000,2009,Women,Incidence,44.14527,7.258449,38.8742623,49.4162777
100000000,2009,Women,Incidence,38.90067,6.315528,34.8592669,42.9420731
110000000,2009,Women,Incidence,30.59148,10.07303,25.52242895,35.66053105
120000000,2009,Women,Incidence,37.38888,7.558631,32.73996195,42.03779805
160000000,2009,Women,Incidence,52.49531,4.61564,48.50949145,56.48112855
150000000,2009,Women,Incidence,47.05809,7.907534,40.93683115,53.17934885
130000000,2012,Women,Incidence,4.10676,14.36252,3.13648965,5.07703035
140000000,2012,Women,Incidence,23.45196,14.5416,17.84203295,29.06188705
10000000,2012,Women,Incidence,18.20062,9.027472,15.4977863,20.9034537
20000000,2012,Women,Incidence,22.08665,9.573718,18.60828105,25.56501895
30000000,2012,Women,Incidence,13.29676,8.452144,11.4480103,15.1455097
40000000,2012,Women,Incidence,11.66634,10.10789,9.7265231,13.6061569
170000000,2012,Women,Incidence,32.02614,10.47849,26.5057503,37.5465297
50000000,2012,Women,Incidence,40.70979,6.18833,36.5656073,44.8539727
60000000,2012,Women,Incidence,28.82959,7.25734,25.3878223,32.2713577
70000000,2012,Women,Incidence,30.68551,7.547947,26.87547615,34.49554385
80000000,2012,Women,Incidence,44.90863,5.498395,40.84671375,48.97054625
90000000,2012,Women,Incidence,38.55557,6.854305,34.2082956,42.9028444
100000000,2012,Women,Incidence,39.90294,7.386848,35.05418735,44.75169265
110000000,2012,Women,Incidence,29.38466,9.934209,24.58269115,34.18662885
120000000,2012,Women,Incidence,43.33754,8.205466,37.48783775,49.18724225
160000000,2012,Women,Incidence,39.67429,6.636736,35.3428734,44.0057066
