date,or_jev_number,particulars,type_of_income,total
1/22/1987,RA#87-023,SMC director's fees,Collateral Income,380313.21
9/22/1987,RA#87-035,SMC director's fees,Collateral Income,12725
9/24/1987,RA# 87-034,UNIMOLCO dividend from ETPI,Collateral Income,4066502.04
9/24/1987,RA# 87-034,Shareof JY Campos on Bulletin Publishing Corporation,Collateral Income,8173506.06
9/24/1987,RA# 87-034,Interest-sequestered TDs w/ SBTC,Collateral Income,47759991.9
12/14/1987,RA# 87-038,PHILCOMSAT Profit sharing Bonus refund(Hizon),Collateral Income,161000
12/14/1987,RA# 87-038,IRC Dividend from POTC,Collateral Income,25962460
12/14/1987,RA# 87-038,MPLDC dividend from POTC,Collateral Income,53876540
12/29/1987,JEV#4743899,IRC quarterly installment-sold shares,Proceeds from disposition of Recovered Assets,51154.25
12/29/1987,JEV#4743899,IRC quarterly installment-sold shares,Proceeds from disposition of Recovered Assets,51154.25
12/29/1987,JEV#4743899,MPLDC-Quarterly installment sold shares,Proceeds from disposition of Recovered Assets,372785.56
12/29/1987,JEV#4743899,MPLDC quarterly inst-sold shares,Proceeds from disposition of Recovered Assets,412500
12/29/1987,JEV#4743899,MPLDC quarterly inst-sold shares,Proceeds from disposition of Recovered Assets,412500
12/29/1987,JEV#4743899,A Floirendo-compromise payment,Proceeds from disposition of Recovered Assets,70000000
12/29/1987,JEV#4743899,REvangelista director's fee,Collateral Income,1800
12/29/1987,JEV#4743899,REvangelista director's fee,Collateral Income,1800
12/29/1987,JEV#4743899,V Banios Donation,Collateral Income,3055.93
12/29/1987,JEV#4743899,R Evangelista-Director's fee,Collateral Income,5400
12/29/1987,JEV#4743899,IRC Dividend PLDT,Collateral Income,6865.04
12/29/1987,JEV#4743899,Fairmont Real Estate-Div PLDT,Collateral Income,18110.4
12/29/1987,JEV#4743899,IRC quarterly installment-sold shares,Collateral Income,51154.25
12/29/1987,JEV#4743899,2 month deposit -IRC Bldg,Collateral Income,93000
12/29/1987,JEV#4743899,IRC-dividend from POTC,Collateral Income,243345
12/29/1987,JEV#4743899,One year rent-IRC Bldg,Collateral Income,530100
12/29/1987,JEV#4743899,SMC director's fees,Collateral Income,569560
12/29/1987,JEV#4743899,PCIB Excess of profit sharing,Collateral Income,824733.44
12/29/1987,JEV#4743899,MPLDC-dividend from POTC,Collateral Income,1260000
12/29/1987,JEV#4743899,PIC-dividend from POTC,Collateral Income,1500000
12/29/1987,JEV#4743899,SMC Excess profit sharing,Collateral Income,2334849.12
12/29/1987,JEV#4743899,Piedras Petroleum dividend from POTC,Collateral Income,3750000
12/29/1987,JEV#4743899,UCPB excess profit sahring,Collateral Income,5125642.41
3/3/1988,OR#8359375,Quintin Doromal donated honorarium,Collateral Income,7200
3/3/1988,OR#8359375,Carlos Faraales donated director's fee,Collateral Income,22000
3/3/1988,OR#8359375,Salvador Hizon Profit sharing bonus,Collateral Income,259000
3/3/1988,OR#8359375,Ferdinand Marcos Jr Part of Dividend from ETPI,Collateral Income,338018.86
3/3/1988,OR#8359375,Crisanto Gualberto Profit sharing bonus,Collateral Income,450000
3/3/1988,OR#8359375,UCPB Excess of Profit sharing,Collateral Income,7678854.18
3/3/1988,OR#8359375,Cesar Zalamea shares in Bulletin Publishing Corp,Collateral Income,21244926.96
5/17/1988,OR#8359959,Donated honorarium,Collateral Income,4429.67
5/17/1988,OR#8359959,Proceeds of sale of ETPI shares(IRC),Collateral Income,353819.33
5/17/1988,OR#8359959,Excess profit sharing-PCIB,Collateral Income,1961768.31
5/17/1988,OR#8359959,Shares from IRC,Collateral Income,5000000
5/17/1988,OR#8359959,RP Dividend from Benquet Corp,Collateral Income,6500000
5/17/1988,OR#8359959,PALM Ave Holding Dividend from Benquet,Collateral Income,6737339
5/17/1988,OR#8359959,Escess profit sharing-UCPB,Collateral Income,7799149.93
5/17/1988,OR#8359959,Excess profit sharing-SMC,Collateral Income,16643493.76
6/14/1988,JEV#4743938,Proceeds from sale of shares of stocks of IRC,Proceeds from disposition of Recovered Assets,3516877.1
6/14/1988,JEV#4743938,Proceeds from sale of shares of stocks of Mid-land Pasig Dev't Corp,Proceeds from disposition of Recovered Assets,3750000
6/14/1988,JEV#4743938,Proceeds of sale of shares of stocks of Balabac Drilling Co,Proceeds from disposition of Recovered Assets,45000000
6/14/1988,JEV#4743938,Various checks from JY Campos,Proceeds from disposition of Recovered Assets,250000000
6/14/1988,JEV#4743938,Dividend checks from Eastern Telecom,Collateral Income,300000
6/14/1988,JEV#4743938,Proceeds of sale of shares of stocks of Barcelon-Ultrana Group,Collateral Income,2197500
6/14/1988,JEV#4743938,"Various checks from Eastern Telecommunications,Inc",Collateral Income,5706666.4
6/14/1988,JEV#4743938,Various checks from SBTC shares,Collateral Income,15120000
6/14/1988,JEV#4743938,Dividend Check from Phil Overseas Communication Corp-Mid-land Pasig Dev't Corp,Collateral Income,19831500
6/14/1988,JEV#4743938,Various checks from Mid-Land Dev't Corp,Collateral Income,37112920
6/14/1988,JEV#4743938,Dividend Check from Phil Overseas Communication Corp-IRC,Collateral Income,41177200
6/14/1988,JEV#4743938,Various checks from IRC,Collateral Income,69054480
6/23/1988,JEV#4561216,PNB New York branch credit advice dtd 4-29-88 representing withdrawals 0f US$450000 from PCGG SA#1099,Collateral Income,9458100
7/8/1988,OR#7950408,Imee Marcos Manotoc subcription in Trans Asia Minerals New Jersey Settlement,Proceeds from disposition of Recovered Assets,6539641.4
7/8/1988,OR#7950255,Per diem from IRC (Hontiveros),Collateral Income,900
7/8/1988,OR#7950255,Honoraria from QSD,Collateral Income,1000
7/8/1988,OR#7950255,Dividends from OPMC-Anchor Estate,Collateral Income,1500
7/8/1988,OR#7950255,Dividends from OPMC-IRC,Collateral Income,243345
7/8/1988,OR#7950255,Rental income from IRC>,Collateral Income,530100
7/8/1988,OR#7950255,Proceeds from sale of High Five shares,Collateral Income,800000
7/8/1988,OR#7950255,Dividends from OPMC_MPLDC,Collateral Income,1260000
7/8/1988,OR#7950255,Net Income from Pistang Pilipino,Collateral Income,1300000
7/8/1988,OR#7950255,Excess profit sharing-Benquet Corp,Collateral Income,2457104
7/8/1988,OR#7950255,Dividends from OPMC-Anchor Estate,Collateral Income,3750000
7/8/1988,OR#7950255,Part of proceeds of ETPI shares,Collateral Income,4190977.53
7/8/1988,OR#7950255,Interest income from Marketable securities,Collateral Income,10005004.21
7/8/1988,OR#7950255,Retirement of CTD Faiemont Real Estate and Lease payment-BASECO Property,Collateral Income,10901928.77
7/8/1988,OR#7950255,Interest on Sequestered Time Deposits(SBTC),Collateral Income,11241381.33
7/8/1988,OR#7950255,SBTC sequestered deposits,Collateral Income,125000000
7/8/1988,OR#7950255,SBTC 1st payment,Collateral Income,250000000
10/8/1988,OR#7950829,Excess profit sharing(Benquet),Collateral Income,4000
10/8/1988,OR#7950829,Others,Collateral Income,6050
10/8/1988,OR#7950829,Rental of FM Jr Baquio Residence,Collateral Income,10000
10/8/1988,OR#7950829,Basecp lease rental of Maraviles Property,Collateral Income,988670.07
10/8/1988,OR#7950829,IRC Port Center Dev't Corp,Collateral Income,5000000
10/8/1988,OR#7950829,Dividends from Benquet Corp,Collateral Income,9750000
10/8/1988,OR#7950829,MPLDC dividend from POTC/Philcomsat,Collateral Income,13521200
10/8/1988,OR#7950829,IRC dividend from POTC/Philcomsat,Collateral Income,28058800
10/8/1988,OR#7950829,Interest from Deposit,Collateral Income,36607646.6
4/17/1989,OR#7952912,PCGG remittance to CARP Fund,Collateral Income,110070.28
4/17/1989,OR#7952912,PCGG remittance to CARP Fund,Collateral Income,1191515.92
4/17/1989,OR#7952912,PCGG remittance to CARP Fund,Collateral Income,145985068
4/27/1989,OR#7952986,Salvador Hizon-Refund of profit sharing bonus from Philcomsat,Collateral Income,85333.34
4/27/1989,OR#7952986,UCPB Excess of Profit sharing,Collateral Income,14611482.24
4/27/1989,OR#7952986,SMC-Excess of profit sharing,Collateral Income,26094117.84
5/25/1989,JEV# 4574119,Sales proceeds of Olympic Tower Apartment(PNB NY),Collateral Income,52951802.8
6/9/1989,OR#7953269,PCGG remittance to CARP Fund,Collateral Income,114019.7
7/10/1989,OR#7953555,PCGG remittance to CARP Fund,Collateral Income,515517.37
8/25/1989,OR#7957187,IRC-payment of the amount previously deducted from Lepanto Consolidated cash dividends,Collateral Income,68640
8/25/1989,OR#7957187,Benquet Corp excess incentive bonus plus awards of PCGG directors,Collateral Income,1437064
9/6/1989,OR#7957237,Rafael Fernand o-Directors fees from Oct 1988 to June 1989,Collateral Income,150000.03
9/6/1989,OR#7957237,Ramon Guanzon-Directors fees from Aug 1987 to July 1988,Collateral Income,200000.04
9/6/1989,OR#7957237,SBTC-installment payment of principal and interest earnings,Collateral Income,9251838.28
9/6/1989,OR#7957237,SBTC-installment payment of principal and interest earnings,Collateral Income,33849043.65
9/21/1989,OR#7957355,PCGG remittance to CARP Fund,Collateral Income,88000
10/6/1989,OR#7957418,PCGG remittance to CARP Fund,Collateral Income,1600
10/6/1989,OR#7957417,Interst earning from PNB-Escrow account,Collateral Income,292109.86
10/6/1989,OR#7957417,Philcomsat allowances of PCGG nominated Directors,Collateral Income,400000.08
10/6/1989,OR#7957417,UCPB profit sharing,Collateral Income,4042567.15
10/12/1989,JEV# 4574169,Trust collection from Asia Foundation Inc,-,-93000
12/21/1989,OR#0327119,Recovered from Union Bank of Switzerland,Proceeds from disposition of Recovered Assets,47535037.93
12/27/1989,OR#0327134,David M Castro Donation,Collateral Income,15000
12/27/1989,OR#0327135,PCGG remittance to CARP Fund,Collateral Income,36500
12/27/1989,OR#0327134,Philcomsat allowances of PCGG nominated Directors,Collateral Income,116666.69
12/27/1989,OR#0327134,Philcomsat-Recompense from 1988-1989,Collateral Income,4575327.64
1/2/1990,OR#0327411,PCGG remittance to CARP Fund,Collateral Income,9640382.16
1/2/1990,OR#0327177,"SBTC-dollar remittance($1,676,51438) Principal + Interest",Collateral Income,37414282.56
2/22/1990,OR#0327513,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,150000.03
2/22/1990,OR#0327513,SBTC payment of interest earned July-Nov 1989,Collateral Income,9571522.27
2/22/1990,OR#0327513,SBTC payment Balance +principal re-payments in June 1989,Collateral Income,11283014.55
2/22/1990,OR#0327513,SBTC 2nd semi-annual principal repayments,Collateral Income,45132058.2
3/1/1990,OR#0327551,Payment for bal of principal repayments made June 1989;Interest earned for July-Nov 1988;SBTC semi-annuual payments of pricipal repayments,Collateral Income,25417847.67
3/26/1990,OR#0327788,"Final settlement of the net proceeds of sale of 8,222,500 ""A"" shares",Proceeds from disposition of Recovered Assets,129
3/26/1990,OR#0327788,"Final settlement of the net proceeds of sale of 8,222,500 ""A"" shares",Proceeds from disposition of Recovered Assets,37452.6
3/26/1990,OR#0327788,"Final settlement of the net proceeds of sale of 8,222,500 ""A"" shares",Proceeds from disposition of Recovered Assets,4477478.2
3/26/1990,OR#0327787,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,66666.68
3/26/1990,OR#0327787,year-end bonus of PCGG nominated Directors at Philcomsat,Collateral Income,300000
3/26/1990,OR#0327787,"Cash dividend for 8,222,500 ""A"" shares of Benquet Mgt Corp",Collateral Income,4111250
3/26/1990,OR#0327788,"sales proceeds of 8,222,500 ""A"" shares of Benquet Mgt Corp",Collateral Income,79172384.37
4/30/1990,JEV#4578502(22),PCGG deposits to the BTr SA with PNB New York,Collateral Income,34245000
5/4/1990,OR#0839325,Downpayment per 4/10/90 Compromise Agreement between Razon and PCGG,Collateral Income,2000000
5/4/1990,OR#0839326,Excess director's fee from SMC,Collateral Income,23470502.88
6/29/1990,OR#1409529,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,200000.04
6/29/1990,OR#1409529,PCIB allowance ceiling paid to Tolentino,Collateral Income,2331886.13
6/29/1990,OR#1409529,Donation to CARP Fund -Simeon Alejand ro,Collateral Income,2500000
8/31/1990,OR#4574284,PCGG deposits to the BTR S/A with PNB New York,Collateral Income,406784956.8
9/6/1990,OR#1409646,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,66666.68
9/6/1990,OR#1409646,director's fees 4/1-12 to 12/31/89 -Philcomsat,Collateral Income,3287908.76
9/6/1990,OR#1409646,SBTC-payment for interest income 12/1/89-3/31/90,Collateral Income,11693340.17
9/6/1990,OR#1409645,"SBTC-representing 1st semi-annual repayments for 1990 and interest income for the period Dec 1989-May 31,1990",Collateral Income,22591054
9/6/1990,OR#1409646,SBTC-2nd semi-annual principal repayments 1990,Collateral Income,45132058.2
10/22/1990,OR#1409697,Cash payment-Benquet Corp,Collateral Income,23.2
10/22/1990,OR#1409697,"Benquet Corp-Cash dividend on 190,289 common shares in favor of IRC",Collateral Income,94267
10/22/1990,OR#1409697,Donation to RP-Mat Caparas,Collateral Income,200000
10/22/1990,OR#1409697,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,200000.04
4/23/1991,OR#1413536,Final settlement re: purchase of FMMC shares-Mantrasco,Collateral Income,673920
4/23/1991,OR#1413536,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,2981758.04
4/23/1991,OR#1413536,Initial cash settlement per compromise agreement dtd 8/22/90-Mantrasco,Collateral Income,35000000
4/23/1991,OR#1413537,SBTC,Collateral Income,83880954.67
7/10/1991,OR#1413718,partial compromised settlement of MANTRASCO,Proceeds from disposition of Recovered Assets,10000000
7/10/1991,OR#1413718,Donation to RP-Mat Caparas,Collateral Income,10000
7/10/1991,OR#1413718,Donation to RP-Arthur A Defensor,Collateral Income,15974.8
7/10/1991,OR#1413718,3- months bonus of Philcomsat Directors,Collateral Income,300000
7/10/1991,OR#1413718,Donation to RP-Eduardo de los Angeles,Collateral Income,462469.82
7/10/1991,OR#1413718,Allowance of PCGG nominated directors-Philcomsat,Collateral Income,533333.44
7/30/1991,OR#1413768,SMC excess director's fees 5/31/90-4/16/91,Collateral Income,13052841.3
