year,amount
1987,228012547.86
1988,1099394492.41
1989,343625322.82
1990,781572132.14
1991,670010219.71
1992,199230261.20
1993,117856359.82
1994,15177211555.60
1995,621559487.56
1996,290030604.23
1997,226680844.56
1998,1217374320.91
1999,382287838.72
2000,36346622.16
2001,498270893.29
2002,165849962.81
2003,116472677.75
2004,35160188411.67
2005,56905111.17
2006,48013512.35
2007,25270589031.19
2008,2051468564.59
2009,758463032.10
2010,488767838.83
2011,287353673.52
2012,460240307.31
2013,413462466.30
2014,1315100883.97
2015,132277706.48
total,88614616683.03
