province,position,name,nickname,party_affiliation,votes_obtained
Abra,Provincial Governor,"Valera, Vicente Paredes",Vicsyd,Nationalist People's Coalition,69662
Abra,Provincial Vice-Governor,"Lo, Jaime Alvarez",Enghing,Nationalist People's Coalition,66083
Abra,Provincial Board Member,"Berona, Jonathan Sotelo",Nathan,Partido Demokratiko Sosyalista ng Pilipinas,21489
Abra,Provincial Board Member,"Valera, Victor Asuncion",Vic,Nationalist People's Coalition,18049
Abra,Provincial Board Member,"Flores, Edgardo Gonzales",Edgar,Liberal Party,17566
Abra,Provincial Board Member,"Paredes, Ruben Aliga",Ben,Lakas-Christian Muslim Democrats,17341
Abra,Provincial Board Member,"Bersamin, James Burgos",James,Nationalist People's Coalition,32866
Abra,Provincial Board Member,"Cardenas, Perfecto Bolos",Poop,Nationalist People's Coalition,26937
Abra,Provincial Board Member,"Barona, Victorino Inguatan",Vic,Partido Demokratiko Sosyalista ng Pilipinas,24694
Abra,Provincial Board Member,"Dickson, Ramon Ong",Mon,Partido Demokratiko Sosyalista ng Pilipinas,24460
Agusal Del Norte,Provincial Governor,"Amante, Erlpe John Malbas",Ping,Lakas-Christian Muslim Democrats,64198
Agusal Del Norte,Provincial Vice-Governor,"Corvera, Dale Bokingo",Del,Lakas-Christian Muslim Democrats,45856
Agusal Del Norte,Provincial Board Member,"Escasinas, Virgilio Jr. Radaza",Jun-Jun,Liberal Party,4163
Agusal Del Norte,Provincial Board Member,"Ceniza, Ernie Mori",Erns,Lakas-Christian Muslim Democrats,47932
Agusal Del Norte,Provincial Board Member,"Dagani, Rogelio Pabia",Roger,Lakas-Christian Muslim Democrats,43532
Agusal Del Norte,Provincial Board Member,"Famador, Alan MUnited Oppositionz",Alan,Lakas-Christian Muslim Democrats,43424
Agusal Del Norte,Provincial Board Member,"Atupan, Venerando Dolotina",Vener,Lakas-Christian Muslim Democrats,41547
Agusal Del Norte,Provincial Board Member,"Tomaneng, Sadeka Garcia",Deka,Lakas-Christian Muslim Democrats,40563
Agusal Del Norte,Provincial Board Member,"Gambe, Aquino Wabe",Quin,Liberal Party,39690
Agusal Del Norte,Provincial Board Member,"Libarios, Arcedel Ibay",Kidz,Liberal Party,36882
Agusal Del Norte,Provincial Board Member,"Tan, Andres Ramirez",Andring/Dring,Lakas-Christian Muslim Democrats,36817
Agusal Del Norte,Provincial Board Member,"Ago, Sunny Mahumot",Sunny Boy,Liberal Party,34454
Agusan Del Sur,Provincial Governor,"Plaza, Adolph Edward Galido",Eddie Bong,Lakas-Christian Muslim Democrats,113662
Agusan Del Sur,Provincial Vice-Governor,"Getes, Virginia Magbanua",Virgie,Lakas-Christian Muslim Democrats,93440
Agusan Del Sur,Provincial Board Member,"Campos, Aida Redillas",Aida,Lakas-Christian Muslim Democrats,46372
Agusan Del Sur,Provincial Board Member,"Bascug, Alfelito Maraon",Alfel,Lakas-Christian Muslim Democrats,46236
Agusan Del Sur,Provincial Board Member,"Cane, Santiago Jr. Barriga",Santi,Lakas-Christian Muslim Democrats,43851
Agusan Del Sur,Provincial Board Member,"Alonde, Cesar Masayon",Boy,Lakas-Christian Muslim Democrats,39873
Agusan Del Sur,Provincial Board Member,"Santiago, Allan Jala",Allan,Lakas-Christian Muslim Democrats,37851
Agusan Del Sur,Provincial Board Member,"De Asis, Jenny Diesto",Jenny,Lakas-Christian Muslim Democrats,60142
Agusan Del Sur,Provincial Board Member,"Mondejar, Salimar Torralba",Loloy,Lakas-Christian Muslim Democrats,40708
Agusan Del Sur,Provincial Board Member,"Bunilla, Jose Cadiog",Joe,Lakas-Christian Muslim Democrats,40295
Agusan Del Sur,Provincial Board Member,"Prochina, Timoteo Burdeos",Teyoy,Lakas-Christian Muslim Democrats,39113
Agusan Del Sur,Provincial Board Member,"Plaza, Glenn Mondejar",Glen,Lakas-Christian Muslim Democrats,34353
Aklan,Provincial Governor,"Marquez, Carlito Samson",Lito,Lakas-Christian Muslim Democrats,78581
Aklan,Provincial Vice-Governor,"Tolentino, Ronquillo Conanan",Kel,Lakas-Christian Muslim Democrats,75615
Aklan,Provincial Board Member,"Fuentes, Stevens Nabor",Steve,Liberal Party,43458
Aklan,Provincial Board Member,"Briones, Daisy Sucro",Daisy,Lakas-Christian Muslim Democrats,39569
Aklan,Provincial Board Member,"Morania, Plaridel Masagnay",Dodoy,Laban ng Demokratikong Pilipino,38216
Aklan,Provincial Board Member,"Regalado, Santiago Del Rosario",Sonny,Lakas-Christian Muslim Democrats,32109
Aklan,Provincial Board Member,"Venus, Eriberto Laurente",Berting,Lakas-Christian Muslim Democrats,30998
Aklan,Provincial Board Member,"Garcia, Pedro Monfort",Pete,Lakas-Christian Muslim Democrats,33405
Aklan,Provincial Board Member,"Templonuevo, Gerick Maribojo",Gerick,Liberal Party,32063
Aklan,Provincial Board Member,"Ibarreta, Selwyn Candelario",Selwyn,Liberal Party,30946
Aklan,Provincial Board Member,"Yap, Jose Sacapano",Joe,Lakas-Christian Muslim Democrats,29499
Aklan,Provincial Board Member,"Gelito, Ramon Sucgang",Andoy,Partido Demokratiko Pilipino-Lakas-Christian Muslim Democrats ng Bayan,24544
Albay,Provincial Governor,"Gonzales, Fernando Vallejo",Nando,Independent,188318
Albay,Provincial Vice-Governor,"Calisin, Jesus James Bragais",Bayan,Lakas-Christian Muslim Democrats,270977
Albay,Provincial Board Member,"Borejon, Raul Roi Bequio",Rb,Lakas-Christian Muslim Democrats,54807
Albay,Provincial Board Member,"Berces, Felipe Valderama",Philip,Puwersa ng Masang Pilipino,41234
Albay,Provincial Board Member,"Aytona, Celso Bertumen",Cel,Lakas-Christian Muslim Democrats,36412
Albay,Provincial Board Member,"Andes, Ralph Alvarado",Ralph,Lakas-Christian Muslim Democrats,55990
Albay,Provincial Board Member,"Estevez, Jose Jr. AcUnited Negros Alliance",Pepe,Independent,55678
Albay,Provincial Board Member,"Montallana, Neil LUnited Negros Alliance",Neil,Lakas-Christian Muslim Democrats,42113
Albay,Provincial Board Member,"Fernandez, Ramon Jr. Tuason",Dondon,Lakas-Christian Muslim Democrats,38645
Albay,Provincial Board Member,"Imperial, Harold Ong",Lod,Lakas-Christian Muslim Democrats,36965
Albay,Provincial Board Member,"Saribong , Jose Sayson",Bebot,Puwersa ng Masang Pilipino,36815
Albay,Provincial Board Member,"Rances, Jesus Rangasajo",Jess,Lakas-Christian Muslim Democrats,29343
Antique,Provincial Governor,"Perez, Salvacion Zaldivar",Sally,Liberal Party,95368
