region,species,log_grade,diameter,ave_price_php_per_cubic_m,q1_php_per_cubic_m,q2_php_per_cubic_m,q3_php_per_cubic_m,q4_php_per_cubic_m
V (Bicol Region),Acacia,Sawlog,Below 30,9388,8909,9548,9548,9548
V (Bicol Region),Acacia,Sawlog,30-39,9388,8909,9548,9548,9548
V (Bicol Region),Acacia,Sawlog,40-49,9388,8909,9548,9548,9548
V (Bicol Region),Acacia,Sawlog,50-59,9388,8909,9548,9548,9548
V (Bicol Region),Acacia,Sawlog,60 and Above,9388,8909,9548,9548,9548
VII (Central Visayas),A. Mangium,Poles and Piles,Below 30,3999,3999,3999,3999,3999
XIII (Caraga),A. Mangium,Non-Peelable,Below 30,1540,1540,1540,1540,1540
XIII (Caraga),A. Mangium,Peelable,30-39,2800,2800,2800,2800,2800
XIII (Caraga),A. Mangium,Peelable,40-49,2800,2800,2800,2800,2800
XIII (Caraga),A. Mangium,Peelable,50-59,2800,2800,2800,2800,2800
XIII (Caraga),A. Mangium,Peelable,60 and Above,2800,2800,2800,2800,2800
XIII (Caraga),A. Mangium,Pulpwood,Below 30,2600,2600,2600,2600,2600
XIII (Caraga),A. Mangium,Pulpwood,30-39,3300,3300,3300,3300,3300
VII (Central Visayas),Bagras,Poles and Piles,Below 30,3999,3999,3999,3999,3999
XI (Davao Region),Bagras,Sawlog,Below 30,1433,1433,1433,1433,1433
XI (Davao Region),Bagras,Sawlog,30-39,2500,2500,2500,2500,2500
XI (Davao Region),Bagras,Sawlog,40-49,2800,2800,2800,2800,2800
XI (Davao Region),Bagras,Sawlog,50-59,2900,2900,2900,2900,2900
XI (Davao Region),Bagras,Sawlog,60 and Above,3000,3000,3000,3000,3000
XI (Davao Region),Durian,Peelable,Below 30,3000,3000,3000,3000,3000
XI (Davao Region),Durian,Peelable,30-39,3800,3800,3800,3800,3800
XI (Davao Region),Durian,Peelable,40-49,4500,4500,4500,4500,4500
XI (Davao Region),Durian,Peelable,60 and Above,5050,5050,5050,5050,5050
XI (Davao Region),Falcata,Sawlog,Below 30,1360,1307,1291,1198,1643
XI (Davao Region),Falcata,Sawlog,30-39,1928,2089,2049,1761,1813
XI (Davao Region),Falcata,Sawlog,40-49,2250,2467,2333,2267,1933
XI (Davao Region),Falcata,Sawlog,50-59,2336,2409,2461,2420,2056
XI (Davao Region),Falcata,Sawlog,60 and Above,2502,2750,2567,2542,2150
XI (Davao Region),Falcata,Peelable,Below 30,2850,3000,2800,2800,2800
XI (Davao Region),Falcata,Peelable,30-39,3508,3833,3400,3400,3400
XI (Davao Region),Falcata,Peelable,40-49,3703,3911,3633,3633,3633
XI (Davao Region),Falcata,Peelable,50-59,4000,4000,4000,4000,4000
XI (Davao Region),Falcata,Peelable,60 and Above,3983,4444,4333,3855,3300
XI (Davao Region),Falcata,Peeler/Veneer Log,Below 30,1553,1911,1500,1400,1400
XI (Davao Region),Falcata,Peeler/Veneer Log,30-39,1818,2322,1750,1600,1600
XI (Davao Region),Falcata,Peeler/Veneer Log,40-49,2353,2711,2300,2200,2200
XI (Davao Region),Falcata,Peeler/Veneer Log,50-59,2331,2550,2375,2200,2200
XI (Davao Region),Falcata,Peeler/Veneer Log,60 and Above,2482,3078,2450,2200,2200
