city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Aurora,Mayor,"Cabahug, Enrique, Jr. Judilla",Jun,Liberal Party,11395
Aurora,Vice-Mayor,"Palma, Emmanuel II Lumansoc",Jojo,Liberal Party,11050
Aurora,Councilor,"Ceniza, Marcelo, Jr. Pintor",Mar,Independent,9397
Aurora,Councilor,"Rondrique, Anastacio Ondiano",Dodo,Nacionalista Party,9407
Aurora,Councilor,"Codeniera, Ruben Borres",Angga,Lakas-Kampi,9459
Aurora,Councilor,"Tigue, Rogelio Solon",Titing,Liberal Party,9484
Aurora,Councilor,"Pintor, Rosario Ceniza",Rose,Lakas-Kampi,9578
Aurora,Councilor,"Ceniza, Raul Acaso",Boss,Lakas-Kampi,9983
Aurora,Councilor,"Cabahug, Bonifacio Judilla",Boning,Liberal Party,10259
Aurora,Councilor,"Cabahug, Gallant Enrique Rosauro",Gal,Liberal Party,10562
Bayog,Mayor,"Babasa, Leonardo, Jr. Largado",Totoy,Lakas-Kampi,6619
Bayog,Vice-Mayor,"Godin, Romualdo Sta Ana",Dodong,Lakas-Kampi,5923
Bayog,Councilor,"Dano, Raul Tabacon",Ul,Lakas-Kampi,5702
Bayog,Councilor,"Rodriguez, Norelyn Briol",Lyn,Lakas-Kampi,5884
Bayog,Councilor,"Gorra, Neva Jean Geografia",Jean,Independent,6002
Bayog,Councilor,"Amor, Saturnino Odchigue",Tony,Lakas-Kampi,6271
Bayog,Councilor,"Matias, Celso Aragon",Dodong,Lakas-Kampi,6326
Bayog,Councilor,"Ocariza, Antonio Baya",Tony,Lakas-Kampi,6361
Bayog,Councilor,"Monding, Julieto Lagura",Giging,Lakas-Kampi,6725
Bayog,Councilor,"Belza, Blezmer Babao",Bon-Bon,Lakas-Kampi,7588
Dimataling,Mayor,"Baya, Haniel Capangpangan",Niel,Independent,8397
Dimataling,Vice-Mayor,"Baya, Edmund Capangpangan",Munding,Independent,8531
Dimataling,Councilor,"Ramirez, Cesar Handumon",Sar,Independent,6652
Dimataling,Councilor,"Sanal, Gregorio, Jr. Macasling",Jun,Independent,7113
Dimataling,Councilor,"Carmelotes, Claudio Sumatra",Dio,Independent,7122
Dimataling,Councilor,"Degracia, Carlos Antonio",Lito,Independent,7659
Dimataling,Councilor,"Bonga, Puti Abdul",Puts,Independent,7755
Dimataling,Councilor,"Carbero, Benny De Guzman",Benny,Independent,7764
Dimataling,Councilor,"Dris, Momar Maguindra",Mar,Independent,7774
Dimataling,Councilor,"Bagundol, Florencio Bonga",Boy,Independent,7781
Dinas,Mayor,"Vidad, Basilio Amoc",Eking,Independent,9142
Dinas,Vice-Mayor,"Lamparas, Fatima Flores",Temie  Temy,Nacionalista Party,8385
Dinas,Councilor,"Andi, Jamil Maulana",Jay,Lakas-Kampi,5845
Dinas,Councilor,"Cagas, Guillerma Rama",Guily,Nacionalista Party,5850
Dinas,Councilor,"Kumpa, Abdula Donde",Dul,Lakas-Kampi,6466
Dinas,Councilor,"Ambol, Abdulbasit Donde",Basit,Lakas-Kampi,6469
Dinas,Councilor,"Maulana, Camarodden Salicula",Ukol,Lakas-Kampi,6646
Dinas,Councilor,"Alicos, Melvin Calaor",Tata,Nacionalista Party,7237
Dinas,Councilor,"Abrenica, Marilou Vidad",Bebie,Nacionalista Party,7553
Dinas,Councilor,"Asoy, Wilfredo, Jr. Ebanez",Jun,Lakas-Kampi,8233
Dumalinao,Mayor,"Cerilles, Ace William Enerio",Ace,Lakas-Kampi,12269
Dumalinao,Vice-Mayor,"Lanzaderas, Junetine Matutes",Juneth,Nacionalista Party,11096
Dumalinao,Councilor,"Cristoria, Cirilo Tigoylo",Siloy,Lakas-Kampi,10189
Dumalinao,Councilor,"Alvarez, Manuel Albino",Tatay,Nacionalista Party,10363
Dumalinao,Councilor,"Faciol, Eduardo Escuadro",Eddie,Nacionalista Party,10426
Dumalinao,Councilor,"Adorable, Eugenio Cedenio",Gengen,Nacionalista Party,10574
Dumalinao,Councilor,"Ligan, Merlyn Dela Torre",Lyn,Lakas-Kampi,10575
Dumalinao,Councilor,"Boaquina, Edwin Amora",Edwin,Lakas-Kampi,10698
Dumalinao,Councilor,"Encabo, Ronaldo Duhaylungsod",Ronnie,Lakas-Kampi,10867
Dumalinao,Councilor,"Mann, Josephine Vocal",Pina,Lakas-Kampi,10950
Dumingag,Mayor,"Pacalioga, Nacianceno, Jr. Mejos",Jun,Lakas-Kampi,13739
Dumingag,Vice-Mayor,"Morpos, Michael Flores",Boy,Nacionalista Party,12155
Dumingag,Councilor,"Degenion, Bernaldo Parba",Naldo,Lakas-Kampi,11380
Dumingag,Councilor,"Mandao, Corazon Jipulan",Azon,Nacionalista Party,12005
Dumingag,Councilor,"Daarol, Edgar Gimeno",Ondo,Nacionalista Party,12614
Dumingag,Councilor,"Borling, Reynante Geriane",Tata,Lakas-Kampi,12670
Dumingag,Councilor,"Adapon, Agustin, Sr. Macabinta",Osting,Lakas-Kampi,12881
Dumingag,Councilor,"Pacalioga, Roger Mejos",Roger,Nacionalista Party,12990
Dumingag,Councilor,"Paculaba, Onofre Enricuso",Nopoy,Lakas-Kampi,13099
Dumingag,Councilor,"Gumban, Francisco Deferia",Frank,Lakas-Kampi,14567
Guipos,Mayor,"Balandra, Junevell Oraiz",Kabing,Lakas-Kampi,7183
Guipos,Vice-Mayor,"Tagaloguin, Arnold,Sr. Tagalogon",Nodie,Nacionalista Party,7216
Guipos,Councilor,"Vismanos, Vicente Fuentes",Vic,Nacionalista Party,5657
