city_or_municipality,position ,name,nickname,party_affiliation,votes_obtained
Alicia,Mayor,"Tiu, Richard, Sr. Villanueva",Chard,Nacionalista Party,8012
Alicia,Vice-Mayor,"Roa, Rogelio, Jr. Subong",Juno,Nacionalista Party,8075
Alicia,Councilor,"Garcia, Leodegario Alfaro",Lody,Nacionalista Party,5716
Alicia,Councilor,"Musa, Faizal Muksan",Faih,Nacionalista Party,6920
Alicia,Councilor,"Lungay, Ireneo Conol",Dodo,Nacionalista Party,7068
Alicia,Councilor,"Buhayan, Dante Dela Cruz",Nonoy,Nacionalista Party,7093
Alicia,Councilor,"Babaran, Walfredo Ben Ferrer",Ben,Nacionalista Party,7279
Alicia,Councilor,"Ahiron, Napiza Kiram",Kong,Nacionalista Party,7499
Alicia,Councilor,"Maca-Ampao, Jamerah Ibrahim",Jam,Nacionalista Party,7756
Alicia,Councilor,"Zamoras, Lolito, Jr. Bation",Loloy,Nacionalista Party,7829
Buug,Mayor,"Lagas, Jonam Ratilla",Jom,Nacionalista Party,7872
Buug,Vice-Mayor,"Lim, Arnulfo Dondoyano",Arnold,Nacionalista Party,8340
Buug,Councilor,"Piscos, Randie Lu",Randie,Lakas-Kampi,6658
Buug,Councilor,"Casas, Julieta Tulod",Lilit,Lakas-Kampi,6693
Buug,Councilor,"Jumawan, Leo Jose Lagdamen",Leo,Nacionalista Party,6698
Buug,Councilor,"Quintero, Sherwin Rodriguez",Wing,Lakas-Kampi,6722
Buug,Councilor,"Gako, Marvin Jessie Gonzales",Vin,Nacionalista Party,7123
Buug,Councilor,"Curiba, Rocelo Cinches",Tata,Nacionalista Party,7126
Buug,Councilor,"Becada, Alfonzo Barenio",Fons,Nacionalista Party,7185
Buug,Councilor,"Paderanga, Ernita Acosta",Allen,Lakas-Kampi,7271
Diplahan,Mayor,"Palma, Wilter Yap",Toto,Nacionalista Party,9290
Diplahan,Vice-Mayor,"Braganza, Nimitz, Sr. Belaong",Sabaw,Nacionalista Party,7013
Diplahan,Councilor,"Evangelio, Romeo Africa",Oning,Nacionalista Party,5873
Diplahan,Councilor,"Alayon, Alma Duero",Bebing,Independent,6116
Diplahan,Councilor,"Dungog, Helen Villaruel",Hvd,Nacionalista Party,6682
Diplahan,Councilor,"Yap, Richard Palencia",Boyet,Nacionalista Party,6979
Diplahan,Councilor,"Alayon, Winifredo Aguilar",Dodoy,Nacionalista Party,7221
Diplahan,Councilor,"Jore, Jerry Silim",Jer,Nacionalista Party,7368
Diplahan,Councilor,"Doroteo, Ronald Javillo",Toto,Nacionalista Party,7501
Diplahan,Councilor,"Abico, Danilo, Sr. Sangyao",Danny,Nacionalista Party,8053
Imelda,Mayor,"Gonzales, Expedito Boralo",Pedito,Nacionalista Party,6850
Imelda,Vice-Mayor,"Pabayos, Dodelyn Barimbao",Ging-Ging,Lakas-Kampi,5209
Imelda,Councilor,"Ildefonso, Nilo Gamalinda",Tata,Nacionalista Party,3199
Imelda,Councilor,"Basinang, Merycecil Ravalo",Neneng,Lakas-Kampi,3201
Imelda,Councilor,"Dela Cruz, Manuel Tangub",Maning,Lakas-Kampi,3453
Imelda,Councilor,"Bajada, Noe Asuncion",Noe,Nacionalista Party,3573
Imelda,Councilor,"Talaver, Manuel Luis Lintao",Bong,Lakas-Kampi,3634
Imelda,Councilor,"Claros, Ruby Juntilla",Bing,Lakas-Kampi,3838
Imelda,Councilor,"Vergara, Joey Cabrales",Bobong,Nacionalista Party,3966
Imelda,Councilor,"Quintilla, Mecelina Abayari",Mecy,Nacionalista Party,4331
Ipil,Mayor,"Alibutdan, Eldwin Mangubat",Win,Nacionalista Party,16743
