type_of_banking_system,,March_Total,March_Head Offices,March_Branches,June_Total,June_Head Offices,June_Branches,September_Total,September_Head Offices,September_Branches,December_Total,December_Head Offices,December_Branches
BANKING SYSTEM,Overall Total,"      7,672",           872,"        6,800","        7,693",            871,"              6,822","         7,679",           865,"       6,814","       7,710",          862,"            6,848"
BANKING SYSTEM,NCR,"      2,647",           104,"        2,543","        2,652",            104,"              2,548","         2,640",           103,"       2,537","       2,649",          103,"            2,546"
BANKING SYSTEM,Region 12,         378,             66,           312,           379,              65,                 314,            378,             65,          313,          379,            65,               314
BANKING SYSTEM,Region 2,         224,             36,           188,           224,              36,                 188,            225,             36,          189,          231,            36,               195
BANKING SYSTEM,Region 3,         800,           114,           686,           802,            114,                 688,            808,           114,          694,          812,          114,               698
BANKING SYSTEM,Region IV-A,"      1,161",           156,"        1,005","        1,164",            156,"              1,008","         1,166",           155,"       1,011","       1,170",          155,"            1,015"
BANKING SYSTEM,Region IV-B,           83,             23,             60,             85,              23,                   62,              86,             23,            63,            86,            23,                 63
BANKING SYSTEM,Region 5,         216,             48,           168,           217,              48,                 169,            218,             47,          171,          219,            47,               172
BANKING SYSTEM,Region 6,         437,             85,           352,           438,              85,                 353,            437,             84,          353,          439,            83,               356
BANKING SYSTEM,Region 7,         506,             64,           442,           510,              64,                 446,            504,             63,          441,          503,            61,               442
BANKING SYSTEM,Region 8 ,         133,             26,           107,           133,              26,                 107,            133,             26,          107,          133,            26,               107
BANKING SYSTEM,Region 9,         119,             17,           102,           122,              17,                 105,            122,             17,          105,          122,            17,               105
BANKING SYSTEM,Region 10,         251,             46,           205,           251,              46,                 205,            252,             46,          206,          252,            46,               206
BANKING SYSTEM,Region 11,         249,             22,           227,           250,              22,                 228,            250,             21,          229,          253,            21,               232
BANKING SYSTEM,Region 12,         169,             21,           148,           168,              21,                 147,            166,             21,          145,          168,            21,               147
BANKING SYSTEM,CAR,         110,             21,             89,           110,              21,                   89,            109,             21,            88,          110,            21,                 89
BANKING SYSTEM,ARMM,           26,               4,             22,             26,                4,                   22,              26,               4,            22,            26,              4,                 22
BANKING SYSTEM, CARAGA,         114,             19,             95,           114,              19,                   95,            114,             19,            95,          114,            19,                 95
BANKING SYSTEM,Nationwide,"      7,623",           872,"        6,751","        7,645",            871,"              6,774","         7,634",           865,"       6,769","       7,666",          862,"            6,804"
BANKING SYSTEM,     Asia-Pacific,           25,              -  ,             25,             25,               -  ,                   25,              24,             -  ,            24,            24,            -  ,                 24
BANKING SYSTEM,     Europe ,           14,              -  ,             14,             13,               -  ,                   13,              11,             -  ,            11,            10,            -  ,                 10
BANKING SYSTEM,     North America ,             7,              -  ,               7,               7,               -  ,                     7,                7,             -  ,              7,              7,            -  ,                   7
BANKING SYSTEM,     Africa ,             3,              -  ,               3,               3,               -  ,                     3,                3,             -  ,              3,              3,            -  ,                   3
BANKING SYSTEM,Overseas,           49,              -  ,             49,             48,               -  ,                   48,              45,             -  ,            45,            44,            -  ,                 44
UNIVERSAL AND COMMERCIAL BANKS,Overall Total,"      4,318",             41,"        4,277","        4,324",              41,"              4,283","         4,295",             39,"       4,256","       4,313",            39,"            4,274"
UNIVERSAL AND COMMERCIAL BANKS,NCR,"      2,030",             40,"        1,990","        2,034",              40,"              1,994","         2,017",             38,"       1,979","       2,025",            38,"            1,987"
UNIVERSAL AND COMMERCIAL BANKS,Region 12,         148,              -  ,           148,           149,               -  ,                 149,            147,             -  ,          147,          147,            -  ,               147
UNIVERSAL AND COMMERCIAL BANKS,Region 2,           73,              -  ,             73,             73,               -  ,                   73,              73,             -  ,            73,            75,            -  ,                 75
UNIVERSAL AND COMMERCIAL BANKS,Region 3,         330,              -  ,           330,           332,               -  ,                 332,            332,             -  ,          332,          332,            -  ,               332
UNIVERSAL AND COMMERCIAL BANKS,Region IV-A,         453,              -  ,           453,           453,               -  ,                 453,            452,             -  ,          452,          454,            -  ,               454
UNIVERSAL AND COMMERCIAL BANKS,Region IV-B,           25,              -  ,             25,             25,               -  ,                   25,              25,             -  ,            25,            25,            -  ,                 25
UNIVERSAL AND COMMERCIAL BANKS,Region 5,           97,              -  ,             97,             97,               -  ,                   97,              98,             -  ,            98,            98,            -  ,                 98
UNIVERSAL AND COMMERCIAL BANKS,Region 6,         239,              -  ,           239,           239,               -  ,                 239,            238,             -  ,          238,          240,            -  ,               240
UNIVERSAL AND COMMERCIAL BANKS,Region 7,         262,              -  ,           262,           263,               -  ,                 263,            262,             -  ,          262,          263,            -  ,               263
UNIVERSAL AND COMMERCIAL BANKS,Region 8 ,           73,              -  ,             73,             73,               -  ,                   73,              72,             -  ,            72,            72,            -  ,                 72
UNIVERSAL AND COMMERCIAL BANKS,Region 9,           75,               1,             74,             75,                1,                   74,              75,               1,            74,            75,              1,                 74
UNIVERSAL AND COMMERCIAL BANKS,Region 10,         118,              -  ,           118,           118,               -  ,                 118,            117,             -  ,          117,          117,            -  ,               117
UNIVERSAL AND COMMERCIAL BANKS,Region 11,         136,              -  ,           136,           136,               -  ,                 136,            135,             -  ,          135,          137,            -  ,               137
UNIVERSAL AND COMMERCIAL BANKS,Region 12,           94,              -  ,             94,             93,               -  ,                   93,              92,             -  ,            92,            94,            -  ,                 94
UNIVERSAL AND COMMERCIAL BANKS,CAR,           57,              -  ,             57,             57,               -  ,                   57,              56,             -  ,            56,            56,            -  ,                 56
UNIVERSAL AND COMMERCIAL BANKS,ARMM,           21,              -  ,             21,             21,               -  ,                   21,              21,             -  ,            21,            21,            -  ,                 21
UNIVERSAL AND COMMERCIAL BANKS, CARAGA,           38,              -  ,             38,             38,               -  ,                   38,              38,             -  ,            38,            38,            -  ,                 38
UNIVERSAL AND COMMERCIAL BANKS,Nationwide,"      4,269",             41,"        4,228","        4,276",              41,"              4,235","         4,250",             39,"       4,211","       4,269",            39,"            4,230"
UNIVERSAL AND COMMERCIAL BANKS,     Asia-Pacific,           25,              -  ,             25,             25,               -  ,                   25,              24,             -  ,            24,            24,            -  ,                 24
UNIVERSAL AND COMMERCIAL BANKS,     Europe ,           14,              -  ,             14,             13,               -  ,                   13,              11,             -  ,            11,            10,            -  ,                 10
UNIVERSAL AND COMMERCIAL BANKS,     North America ,             7,              -  ,               7,               7,               -  ,                     7,                7,             -  ,              7,              7,            -  ,                   7
UNIVERSAL AND COMMERCIAL BANKS,     Africa ,             3,              -  ,               3,               3,               -  ,                     3,                3,             -  ,              3,              3,            -  ,                   3
UNIVERSAL AND COMMERCIAL BANKS,Overseas,           49,              -  ,             49,             48,               -  ,                   48,              45,             -  ,            45,            44,            -  ,                 44
THRIFT BANKS,Overall Total,"      1,312",             85,"        1,227","        1,316",              85,"              1,231","         1,318",             84,"       1,234","       1,322",            84,"            1,238"
THRIFT BANKS,NCR,         548,             36,           512,           549,              36,                 513,            554,             37,          517,          555,            37,               518
THRIFT BANKS,Region 12,           38,               1,             37,             38,                1,                   37,              38,               1,            37,            38,              1,                 37
THRIFT BANKS,Region 2,             9,               2,               7,               9,                2,                     7,                9,               2,              7,              9,              2,                   7
