geographical distribution,region,country_or_province,type_of_financial_institution,30 Jun 2012_Total,30 Jun 2012_Demand,30 Jun 2012_Savings,30 Jun 2012_Time,30 Jun 2012_Others,31 Dec 2012_Total,31 Dec 2012_Demand,31 Dec 2012_Savings,31 Dec 2012_Time,31 Dec 2012_Others
Philippine Banking System Total,Philippine Banking System Total,Philippine Banking System Total,Philippine Banking System Total,"5,345,293.61","1,072,121.56","2,548,941.48","1,680,168.40","44,062.17","5,697,658.95","1,146,092.58","2,776,840.99","1,722,678.01","52,047.37"
Philippine Banking System,Philippine Banking System,Philippine Banking System,Universal and Commercial Bank Group Total,"4,734,380.62","1,027,282.07","2,326,177.52","1,337,258.94","43,662.09","5,097,471.69","1,106,759.67","2,552,923.38","1,386,134.15","51,654.50"
Philippine Banking System,Philippine Banking System,Philippine Banking System,Thrift Bank Group Total,"500,664.87","41,824.93","152,718.47","305,857.85",263.634,"496,071.35","37,019.97","156,953.26","301,845.48",252.646
Philippine Banking System,Philippine Banking System,Philippine Banking System,Rural and Cooperative Bank Group Total,"110,248.12","3,014.57","70,045.49","37,051.62",136.442,"104,115.91","2,312.94","66,964.36","34,698.38",140.227
Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,"16,569.78","1,392.26","12,325.88","2,851.64",0,"8,696.61","1,411.87","3,424.92","3,859.82",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Universal and Commercial Banks,"16,569.78","1,392.26","12,325.88","2,851.64",0,"8,696.61","1,411.87","3,424.92","3,859.82",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Thrift Banks,0,0,0,0,0,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Rural and Cooperative Banks,0,0,0,0,0,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Europe Total,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Universal and Commercial Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Asia Total,"15,477.97",909.827,"12,192.26","2,375.88",0,"6,691.72","1,059.12","3,192.94","2,439.67",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Universal and Commercial Banks,"15,477.97",909.827,"12,192.26","2,375.88",0,"6,691.72","1,059.12","3,192.94","2,439.67",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,North America Total,"1,091.81",482.436,133.613,475.756,0,"2,004.88",352.752,231.98,"1,420.15",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Universal and Commercial Banks,"1,091.81",482.436,133.613,475.756,0,"2,004.88",352.752,231.98,"1,420.15",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Australia (Asia Pacific) Total,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Middle East Asia Total,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Universal and Commercial Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Geographical Distribution (Domestic),Geographical Distribution (Domestic) Total,"5,328,723.83","1,070,729.30","2,536,615.60","1,677,316.76","44,062.17","5,688,962.35","1,144,680.71","2,773,416.08","1,718,818.19","52,047.37"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Universal and Commercial Banks,"4,717,810.84","1,025,889.81","2,313,851.65","1,334,407.30","43,662.09","5,088,775.09","1,105,347.80","2,549,498.46","1,382,274.33","51,654.50"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Thrift Banks,"500,664.87","41,824.93","152,718.47","305,857.85",263.634,"496,071.35","37,019.97","156,953.26","301,845.48",252.646
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Rural and Cooperative Banks,"110,248.12","3,014.57","70,045.49","37,051.62",136.442,"104,115.91","2,312.94","66,964.36","34,698.38",140.227
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),National Capital Region (NCR) Total,"3,581,173.38","685,583.07","1,540,046.69","1,312,302.24","43,241.39","3,852,353.41","728,851.25","1,714,788.18","1,357,524.35","51,189.64"
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Universal and Commercial Banks,"3,219,622.58","657,698.11","1,449,727.46","1,068,984.22","43,212.79","3,502,955.05","705,470.26","1,623,532.23","1,122,780.60","51,171.96"
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Thrift Banks,"347,019.35","27,695.70","86,156.63","233,139.18",27.836,"336,602.30","23,225.72","88,043.14","225,315.76",17.678
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Rural and Cooperative Banks,"14,531.45",189.259,"4,162.59","10,178.84",0.765,"12,796.06",155.269,"3,212.80","9,427.99",-
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Manila Total,"566,192.99","95,557.96","285,450.39","184,520.37",664.276,"618,351.06","106,325.76","334,487.08","176,849.21",689.024
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
