Region,City_or_province,type_of_bank,30-Jun-12,31-Dec-12
Philippine Banking System,Philippine Banking System,Philippine Banking System,"3,353,676.19","3,630,905.74"
Philippine Banking System,Philippine Banking System,Universal and Commercial Bank Group,"2,897,875.39","3,164,654.33"
Philippine Banking System,Philippine Banking System,Thrift Bank Group,"353,850.73","366,821.41"
Philippine Banking System,Philippine Banking System,Rural and Cooperative Bank Group,"101,950.08","99,430.00"
Geographical Distribution (Overseas),Geographical Distribution (Overseas),Geographical Distribution (Overseas),"11,033.93","9,155.65"
Geographical Distribution (Overseas),Geographical Distribution (Overseas),Universal and Commercial Banks,"11,033.93","9,155.65"
Geographical Distribution (Overseas),Geographical Distribution (Overseas),Thrift Banks,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas),Rural and Cooperative Banks,-,-
Europe,Europe,Europe,-,-
Europe,Europe,Universal and Commercial Banks,-,-
Europe,Europe,Thrift Banks,-,-
Europe,Europe,Rural and Cooperative Banks,-,-
Asia,Asia,Asia,"10,366.02","8,506.05"
Asia,Asia,Universal and Commercial Banks,"10,366.02","8,506.05"
Asia,Asia,Thrift Banks,-,-
Asia,Asia,Rural and Cooperative Banks,-,-
North America,North America,North America,667.908,649.605
North America,North America,Universal and Commercial Banks,667.908,649.605
North America,North America,Thrift Banks,-,-
North America,North America,Rural and Cooperative Banks,-,-
Australia (Asia Pacific),Australia (Asia Pacific),Australia (Asia Pacific),*,*
Australia (Asia Pacific),Australia (Asia Pacific),Universal and Commercial Banks,*,*
Australia (Asia Pacific),Australia (Asia Pacific),Thrift Banks,-,-
Australia (Asia Pacific),Australia (Asia Pacific),Rural and Cooperative Banks,-,-
Middle East Asia,Middle East Asia,Middle East Asia,0,0
Middle East Asia,Middle East Asia,Universal and Commercial Banks,0,0
Middle East Asia,Middle East Asia,Thrift Banks,-,-
Middle East Asia,Middle East Asia,Rural and Cooperative Banks,-,-
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Geographical Distribution (Domestic),"3,342,642.27","3,621,750.09"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Universal and Commercial Banks,"2,886,841.46","3,155,498.68"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Thrift Banks,"353,850.73","366,821.41"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Rural and Cooperative Banks,"101,950.08","99,430.00"
National Capital Region (NCR),National Capital Region (NCR),National Capital Region (NCR),"2,908,339.22","3,112,925.77"
National Capital Region (NCR),National Capital Region (NCR),Universal and Commercial Banks,"2,624,698.52","2,849,690.39"
National Capital Region (NCR),National Capital Region (NCR),Thrift Banks,"268,989.78","249,891.75"
National Capital Region (NCR),National Capital Region (NCR),Rural and Cooperative Banks,"14,650.93","13,343.63"
National Capital Region (NCR),Manila,Manila,"297,511.47","312,897.82"
National Capital Region (NCR),Manila,Universal and Commercial Banks,*,*
National Capital Region (NCR),Manila,Thrift Banks,*,*
National Capital Region (NCR),Manila,Rural and Cooperative Banks,*,*
National Capital Region (NCR),Mandaluyong City,Mandaluyong City,"147,443.10","157,246.82"
National Capital Region (NCR),Mandaluyong City,Universal and Commercial Banks,"143,623.72","152,251.84"
National Capital Region (NCR),Mandaluyong City,Thrift Banks,356.362,"2,235.23"
National Capital Region (NCR),Mandaluyong City,Rural and Cooperative Banks,"3,463.02","2,759.74"
National Capital Region (NCR),Marikina City,Marikina City,"2,537.87","3,472.28"
National Capital Region (NCR),Marikina City,Universal and Commercial Banks,"1,756.74","1,979.93"
National Capital Region (NCR),Marikina City,Thrift Banks,503.224,"1,404.32"
National Capital Region (NCR),Marikina City,Rural and Cooperative Banks,277.899,88.032
National Capital Region (NCR),Pasig City,Pasig City,"158,196.65","186,675.44"
National Capital Region (NCR),Pasig City,Universal and Commercial Banks,"129,569.58","153,787.72"
National Capital Region (NCR),Pasig City,Thrift Banks,"28,388.89","32,673.23"
National Capital Region (NCR),Pasig City,Rural and Cooperative Banks,238.181,214.495
National Capital Region (NCR),Quezon City,Quezon City,"94,961.29","113,491.62"
National Capital Region (NCR),Quezon City,Universal and Commercial Banks,"81,704.30","93,835.08"
National Capital Region (NCR),Quezon City,Thrift Banks,"13,178.74","19,602.03"
National Capital Region (NCR),Quezon City,Rural and Cooperative Banks,78.251,54.52
National Capital Region (NCR),San Juan City,San Juan City,"24,673.45","32,541.85"
National Capital Region (NCR),San Juan City,Universal and Commercial Banks,*,"27,897.43"
National Capital Region (NCR),San Juan City,Thrift Banks,*,"4,644.42"
National Capital Region (NCR),San Juan City,Rural and Cooperative Banks,*,0
National Capital Region (NCR),Caloocan City,Caloocan City,"29,620.07","40,049.54"
National Capital Region (NCR),Caloocan City,Universal and Commercial Banks,"14,969.27","18,036.75"
National Capital Region (NCR),Caloocan City,Thrift Banks,"13,950.09","21,325.48"
National Capital Region (NCR),Caloocan City,Rural and Cooperative Banks,700.709,687.305
National Capital Region (NCR),Malabon City,Malabon City,"1,548.93","1,849.27"
National Capital Region (NCR),Malabon City,Universal and Commercial Banks,"1,418.91","1,438.32"
National Capital Region (NCR),Malabon City,Thrift Banks,130.018,410.95
National Capital Region (NCR),Malabon City,Rural and Cooperative Banks,-,0
National Capital Region (NCR),Navotas City,Navotas City,"1,732.16","1,834.59"
National Capital Region (NCR),Navotas City,Universal and Commercial Banks,*,*
National Capital Region (NCR),Navotas City,Thrift Banks,*,*
National Capital Region (NCR),Navotas City,Rural and Cooperative Banks,*,*
National Capital Region (NCR),Valenzuela City,Valenzuela City,"2,718.06","3,987.93"
National Capital Region (NCR),Valenzuela City,Universal and Commercial Banks,"2,433.71","3,121.81"
National Capital Region (NCR),Valenzuela City,Thrift Banks,148.126,732.596
National Capital Region (NCR),Valenzuela City,Rural and Cooperative Banks,136.223,133.521
