region,prov,proj_type,title,address,,
RFU I,Ilocos Norte,Farm-To-Market Road,FMR 2.4 Banna Ilocos Norte,Barangay Imelda Banna Ilocos Norte,,
RFU I,Ilocos Norte,Multi Purpose Drying Pavement (MPDP),"MPDP Barangay Camandingan, Batac City","Barangay Camandingan, Batac City, Ilocos Norte",,
RFU I,Ilocos Norte,National Irrigation System (NIS),Madongan Integrated Irrigation Project ,"Dingras and Marcos, Ilocos Norte",,
RFU I,Ilocos Norte,Multi Purpose Drying Pavement (MPDP),"MPDP Barangay Marcos San, Nicholas","Barangay Marcos San, Nicholas, Ilocos Norte ",,
RFU I,Ilocos Norte,Flatbed Dryer (FBD),Flatbed Dryer ,"Bangui, Ilocos Norte, Barangay San Isidro",,
RFU I,Ilocos Norte,Multi Purpose Drying Pavement (MPDP),"MPDP Barangay Pasil, Paoay","Barangay Pasil, Paoay, Ilocos Norte",,
RFU I,Ilocos Norte,Abattoir/Slaughterhouses,"AAA Slaughterhouses, Ilocos",Ilocos,,
RFU I,Ilocos Norte,Small Farm Reservoir,Small Farm Reservoir,"Pasuquin, Ilocos Norte",,
RFU I,Ilocos Norte,Multi Purpose Drying Pavement (MPDP),MPDP Barangay Marcos San Nicholas,"Barangay Marcos San, Nicholas, Ilocos Norte Barangay Marcos",,
RFU I,Ilocos Norte,Multi Purpose Drying Pavement (MPDP),MPDP Barangay Lang-ayan Currimao,"Barangay Lang-ayan Currimao, Ilocos Norte",,
RFU I,Ilocos Norte,Organic Trading Post,"2014 Organic Trading Post, Ilocos Norte","Bacarra, Ilocos Norte",,
RFU I,Ilocos Sur,Farm-To-Market Road,"FMR Sta Cruz, Ilocos Sur 744 M","Barangay Pinipin, Sta. Cruz, Ilocos Sur ",,
RFU I,Ilocos Sur,Multi Purpose Drying Pavement (MPDP),MPDP BarangayBungro Cabugao,"BarangayBungro Cabugao, Ilocos Sur",,
RFU I,Ilocos Sur,Farm-To-Market Road,FMR 1.1 Barangay Pacifico,"Barangay Pacifico Cabugao, Ilocos Sur",,
RFU I,Ilocos Sur,Multi Purpose Drying Pavement (MPDP),MPDP 420 QM Barangay Salapasap,"Cabugao, Ilocos Sur, Barangay Salapasap",,
RFU I,Ilocos Sur,Farm-To-Market Road,FMR 245 Barangay Daclapan,"Barangay Daclapan Cabugao, Ilocos Sur",,
RFU I,Ilocos Sur,National Irrigation System (NIS),Gaco Irrigation Project ,"Cabugao, Ilocos Sur",,
RFU I,Ilocos Sur,Organic Trading Post,"2015 Organic Trading Post San Emilio, Ilocos Sur","San Emilio,Ilocos Sur",,
RFU I,Ilocos Sur,Farm-To-Market Road,"FMR Sta. Cruz, Ilocos Sur 497 M","Barangay Pilar Sta. Cruz, Ilocos Sur ",,
