particulars_1,particulars_2,particulars_3,particulars_4,amount
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,1984592684
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,99229635
Less-Fourth Quarter Disbursements,Pre-Disaster Preparedness Programs,Communication Equipment,Megaphone with battery,208075
Less-Fourth Quarter Disbursements,Pre-Disaster Preparedness Programs,Firefighting Equipment and Accessories,"Hack saw, bolt cutter, wire rope etc for searchand rescue activities of PDRRMC ",1483006
Less-Fourth Quarter Disbursements,Pre-Disaster Preparedness Programs,Motor Vehicles,Van for search and rescue activities of PDRRMC,1890700
Less-Fourth Quarter Disbursements,Pre-Disaster Preparedness Programs,Watercrafts,Rubberboats for search and rescue activities,3302280
Less-Fourth Quarter Disbursements,Pre-Disaster Preparedness Programs,"Other Property, Plant and Equipment","Spine board, scoop stretcher etc for search and rescue activities",2390230
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Travelling Expenses,Travelling Expenses of Benito Calingasan (Oct 2013),1200
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Office Supplies Expenses,Disaster Operation Programs,18406
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Volcanic Eruption and Tsunami Early Warning Training - Polo Shirt for participants,33932
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Volcanic Eruption and Tsunami Early Warning Training - Tarpaulin,16455
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,"Volcanic Eruption and Tsunami Early Warning Training - Meals, Volcanic Eruption Exercises",185850
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,"Volcanic Eruption and Tsunami Early Warning Training - Meals, Tsunami Early Warning System Training",21000
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Volcanic Eruption and Tsunami Early Warning Training - Token for Trainors,36180
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,"PDRRMC Operation, Preparedness for Holy Week",40692.28
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Supplies for Search and Rescue Activities,2727486.79
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Supplies for Disaster Operations,20626.25
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Sacks for repacking of relief goods,5175
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Meals for Disaster Operations and Meetings,33187.5
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Disaster Risk Reduction and Management Summit,47250
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,Materials for PDRRMC Stock Rooms,160761.32
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Other Supplies Expenses,PDRRMC Post Evaluation Meeting,22575
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Donations,Typhoon Yolanda - Groceries for typhoon Yolanda victims,2410000
Less-Fourth Quarter Disbursements,Post-Disaster Programs,Donations,Typhoon Yolanda - Financial Assistance,750000
Total Fourth Quarter Disbursements,Total Fourth Quarter Disbursements,Total Fourth Quarter Disbursements,Total Fourth Quarter Disbursements,15805068.14
Balance,Balance,Balance,Balance,83383874.58
