province,age_group,total_registered_farmers_farm_laborers_and_fishermen_total,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_total,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_total,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_total,number_of_registered_fishermen_male,number_of_registered_fishermen_female
All 20 Provinces,Total,2116313,1683989,432324,1198610,1006202,192408,1158027,865398,292629,367177,347005,20172
All 20 Provinces,5 to 9,3494,2128,1366,86,65,21,3148,1890,1258,381,267,114
All 20 Provinces,10 to 14,29989,21196,8793,1841,1364,477,26251,18095,8156,4326,3723,603
All 20 Provinces,15 to 19,109461,91955,17506,16598,14049,2549,88345,72685,15660,19941,19061,880
All 20 Provinces,20 to 24,171671,147093,24578,58114,51335,6779,120979,100944,20035,32762,31561,1201
All 20 Provinces,25 to 29,217998,185620,32378,100601,89682,10919,137467,112493,24974,42949,41302,1647
All 20 Provinces,30 to 34,238545,198783,39762,126130,111480,14650,139369,109823,29546,47507,45488,2019
All 20 Provinces,35 to 39,251616,204835,46781,144987,126682,18305,139078,105006,34072,49281,46899,2382
All 20 Provinces,40 to 44,240220,191450,48770,147349,126984,20365,126322,91565,34757,45359,42972,2387
All 20 Provinces,45 to 49,229917,179487,50430,149029,126265,22764,115583,80869,34714,40568,38136,2432
All 20 Provinces,50 to 54,188978,144856,44122,128321,106497,21824,89580,60897,28683,31040,29081,1959
All 20 Provinces,55 to 59,154275,116188,38087,109738,88885,20853,68515,45526,22989,22973,21316,1657
All 20 Provinces,60 to 64,110522,81219,29303,81818,64106,17712,45048,29177,15871,14477,13269,1208
All 20 Provinces,65 to 69,76630,54893,21737,59430,45083,14347,28030,17644,10386,8386,7553,833
All 20 Provinces,70 to 74,49989,34883,15106,39964,29265,10699,16684,10317,6367,4284,3792,492
All 20 Provinces,75 to 79,27148,18608,8540,22137,15745,6392,8323,5103,3220,1918,1690,228
All 20 Provinces,80 to 84,9961,6659,3302,8277,5697,2580,2842,1714,1128,562,477,85
All 20 Provinces,85 years old and over,3483,2317,1166,2891,1960,931,1029,659,370,139,120,19
All 20 Provinces,Don't know,1500,1096,404,754,608,146,975,671,304,209,187,22
All 20 Provinces,Not reported,916,723,193,545,450,95,459,320,139,115,111,4
Abra,Total,60908,42005,18903,31076,27109,3967,43599,27094,16505,11908,10801,1107
