names_of_candidates_position_senator_of_philippines,votes_garnered
"Acosta, Jr. Nereus O.",5921111
"Albani, Shariff Ibrahim H.",508558
"Alonto, Zafrullah M.",712628
"Bautista, J.V.L.",1415117
"Bautista, Martin D.",1890152
"Bello, Silvestre III H.",2468276
"Biazon, Rozzano Rufino B.",8626514
"Bong Revilla, Ramon, Jr. B.",19513521
"Caunan, Henry B.",240676
"Cayetano, Pilar Juliana S.",13679511
"David, Rizalito Y.",504259
"De Venecia, Jose III P.",8375043
"Defensor Santiago, Miriam P.",17344742
"Drilon, Franklin M.",15871117
"Enrile, Juan Ponce",15665618
"Espinosa, Nanette M.",607569
"Estrada, Jinggoy E.",18925925
"Guico, Ramon, Jr. N.",1264982
"Guingona, Teofisto III D.",10277352
"Hontiveros-Baraquel, Ana",9106112
"Imbong, Jo Aurea M.",362457
"Inocencio, Ma. Katherine L.R.",888771
"Lacson, Alexander L.",5242594
"Lambino, Raul L.",1156294
"Langit, Rey M.",2694213
"Lao, Yasmin B.",2081895
"Lapid, Manuel M.",11025805
"Lim, Danilo D.",7302784
"Lood, Alma A.",128045
"Lozada, Jose Apolinario Jr., L.",2730279
"Maambong, Regalado E.",545967
"Marcos, Ferdinand, Jr. R.",13169634
"Maza, Liza L.",3855800
"Mitra, Ramon B.",2744090
"Nikabulin, Adz G.",346848
"Ocampo, Ramoncito P.",944725
"Ocampo, Saturnino C.",3539345
"Ople, Susan V.",1930038
"Osmena, Emilio Mario R.",3980370
"Osmena, Sergio III D.",11656668
"Palparan, Jovito, Jr. S.",825208
"Papin, Imelda A.",1972667
"Paredes, Zosimo Jesus II M.",437439
"Pimentel, Gwendolyn D.",6394347
"Plaza, Rodolfo G.",1517905
"Princesa, Reynaldo R.",364245
"Querubin, Ariel O.",6547925
"Recto, Ralph G.",12436960
"Remulla, Gilbert Cesar D.",7454557
"Rinoza-Plazo, Maria Gracia D.",151755
"Roco, Sonia M.",6774010
"Sison, Adrian O.",418055
"Sotto, Vicente III C.",11891711
"Tamano, Adel A.",4059748
"Tamayo, Reginald B.",680211
"Tarrazona, Hector M.",168386
"Tatad, Francisco S.",3331083
"Tinsay, Alexander B.",728339
"Valdehuesa, Manuel Jr. E.",201118
"Villanueva, Hector L.",979708
"Virgines, Israel N.",455332
