name_of_candidate,political_party,grand_total
"Legarda, Loren B.",Nationalist People's Coalition,18501734
"Escudero, Francis Joseph G.",Nationalist People's Coalition,18265307
"Lacson, Panfilo M.",United Opposition,15509188
"Villar, Manuel Jr. B.",Nacionalista Party,15338412
"Pangilinan, Francis N.",Liberal Party,14534678
"Aquino, Benigno Simeon III C.",Liberal Party,14309349
"Angara, Edgardo J.",Laban,12657769
"Arroyo, Joker P.",Kabalikat Ng Malayang Pilipino,11803107
"Cayetano, Alan Peter S.",Nacionalista Party,11787679
"Honasan, Gregorio B.",Independent,11605531
"Trillanes, Antonio Iv F",United Opposition,11189671
"Zubiri, Juan Miguel F.",Lakas-Christian Muslim Democrats,11005866
"Pimentel, Aquilino L.",Partido Demokratiko Pilipino-Lakas ng Bayan,10987347
"Recto, Ralph G.",Lakas-Christian Muslim Democrats,10721252
"Defensor, Michael T.",Lakas-Christian Muslim Democrats,9938995
"Pichay, Prospero, Jr. A.",Lakas-Christian Muslim Democrats,9798622
"Roco, Sonia M.",Aksyon-Demokratiko,8457748
"Montano, Cesar M.",Lakas-Christian Muslim Democrats,7800451
"Sotto, Vicente III C.",Nationalist People'S Coalition,7638361
"Osmena, John Henry R.",United Opposition,7267048
"Magsaysay, Vicente P.",Lakas-Christian Muslim Democrats,6357905
"Coseteng, Anna Dominique M.",Independent,5274682
"Oreta, Teresa Tao A.",Nationalist People'S Coalition,4362065
"Singson, Luis C.",Lakas-Christian Muslim Democrats,4353644
"Gomez, Richard I.",Independent,2725664
"Kiram, Jamalul D",Partido Demokratiko Sosyalista ng Pilipinas,2488994
"Chavez, Melchor G.",Kilusang Bagong Lipunan,843702
"Bautista, Martin D",Ang Kapatiran,761165
"Paredes, Zosimo Jesus Ii M.",Ang Kapatiran,713817
"Cayetano, Joselito P.",Kilusang Bagong Lipunan,510366
"Sison, Adrian O.",Ang Kapatiran,402331
"Lozano, Oliver O.",Kilusang Bagong Lipunan,305647
"Estrella, Antonio L.",Kilusang Bagong Lipunan,285488
"Wood, Victor N.",Kilusang Bagong Lipunan,283036
"Cantal, Felix C.",Philippine Green Republican Party,123608
"Orpilla, Eduardo F.",Kilusang Bagong Lipunan,107532
"Enciso, Ruben C",Kilusang Bagong Lipunan,100523
