region,suc,total_enrolment_headcount_ay_2012-13,weighted_enrollment_cy_2012-13,2013_ps_and_mooe,per_student_cost
NCR (National Capital Region),"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",17615,17896,150408,8405
NCR (National Capital Region),Marikina Polytechnic College,6535,6216,73717,11860
NCR (National Capital Region),Philippine Normal University,13333,14395,414939,28826
NCR (National Capital Region),Philippine State College of Aeronautics,6362,6385,67294,10540
NCR (National Capital Region),Polytechnic University of Philippines,68575,69699,909129,13044
NCR (National Capital Region),Rizal Technological University (Rizal Technological College),22034,21921,208406,9507
NCR (National Capital Region),Technological University of the Philippines,22087,22869,440764,19273
NCR (National Capital Region),University of the Philippines System,57082,62777,6593312,105028
CAR (Cordillera Autonomous Region),Abra State Institute of Science and Technology,3968,3629,84188,23202
CAR (Cordillera Autonomous Region),Apayao State College,1586,1597,46176,28923
CAR (Cordillera Autonomous Region),Benguet State University,10046,9808,326767,33316
CAR (Cordillera Autonomous Region),Ifugao State University (Ifugao State College of Agriculture and Forestry),7383,7644,122095,15974
CAR (Cordillera Autonomous Region),Kalinga-Apayao State College,4405,4405,80750,18331
CAR (Cordillera Autonomous Region),Mountain Province State Polytechnic College,4748,4835,87090,18012
I (Ilocos Region),Don Mariano Marcos Memorial State University,15465,15449,501005,32430
I (Ilocos Region),Ilocos Sur Polytechnic State College,5681,5261,116363,22120
I (Ilocos Region),Mariano Marcos State University,13291,12807,350612,27378
I (Ilocos Region),North Luzon Philippine State College,2271,2271,22920,10092
I (Ilocos Region),Pangasinan State University,22813,22977,295822,12875
I (Ilocos Region),University of Northern Philippines,12898,12468,271787,21798
II Cagayan Valley),Batanes State College (Batanes Polytechnic College),502,456,22900,50274
II Cagayan Valley),Cagayan State University,37645,37008,387902,10482
II Cagayan Valley),Isabela State University,24673,24246,530538,21882
II Cagayan Valley),Nueva Viscaya State University (NVSIT and NVSPC),9224,9070,242238,26708
II Cagayan Valley),Quirino State College,2174,2111,43272,20503
II Cagayan Valley),Sub-Total Region II,74218,72890,1226850,16832
III (Central Luzon),Aurora State College of Technology,2402,2393,46091,19261
III (Central Luzon),Bataan Peninsula State University (BPSC and BSC),15760,15492,194392,12548
III (Central Luzon),Bulacan Agricultural State College,3217,3079,57929,18814
III (Central Luzon),Bulacan State University,36149,36745,282709,7694
III (Central Luzon),Central Luzon State University,10363,10561,381000,36077
III (Central Luzon),Don Honorio Ventura Technological State University (Don Honorio Ventura College of Arts and Trades),14194,13847,132998,9605
III (Central Luzon),Nueva Ecija University of Science and Technology (CLPC),29053,28581,218305,7638
III (Central Luzon),Pampanga Agricultural College,4543,4520,127400,28189
III (Central Luzon),Philippine Merchant Marine Academy,913,930,104638,112514
III (Central Luzon),Ramon Magsaysay Technological University (Ramon Magsaysay Polytechnic College),8736,8584,116431,13564
III (Central Luzon),Tarlac College of Agriculture,3949,3704,114897,31024
III (Central Luzon),Tarlac State University,16143,16306,187878,11523
IV-A (CALABARZON),Batangas State University (Pablo Borbon Memorial Institute of Technology),33731,31660,262157,8280
IV-A (CALABARZON),Cavite State University (DSAC),26385,25967,247867,9545
IV-A (CALABARZON),Laguna State Polytechnic University (Laguna State Polytechnic College),16107,16487,206296,12513
IV-A (CALABARZON),Southern Luzon State University (Southern Luzon Polytechnic College),15762,15586,173942,11160
