region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total,percent_passing_2010,percent_passing_2011,percent_passing_2012,percent_passing_total
I (Ilocos Region),Don Mariano Marcos Memorial State University,Agricultural Engineering,1,4,4,9,14,17,10,41,7.14,23.53,40,21.95
I (Ilocos Region),Don Mariano Marcos Memorial State University,Agriculture,6,10,20,36,24,32,43,99,25,31.25,46.51,36.36
I (Ilocos Region),Don Mariano Marcos Memorial State University,Civil Engineering,-,0,0,0,-,1,1,2,0,0,0,0
I (Ilocos Region),Don Mariano Marcos Memorial State University,Criminology,-,-,0,0,-,-,1,1,0,0,0,0
I (Ilocos Region),Don Mariano Marcos Memorial State University,Electrical Engineering,22,43,42,107,92,87,104,283,23.91,49.43,40.38,37.81
I (Ilocos Region),Don Mariano Marcos Memorial State University,Forestry,0,0,2,2,1,4,2,7,0,0,100,28.57
I (Ilocos Region),Don Mariano Marcos Memorial State University,Guidance Counseling,0,4,3,7,1,5,5,11,0,80,60,63.64
I (Ilocos Region),Don Mariano Marcos Memorial State University,LET-Elementary,119,163,331,613,515,551,537,1603,23.11,29.58,61.64,38.24
I (Ilocos Region),Don Mariano Marcos Memorial State University,LET-Secondary,109,122,206,437,399,427,456,1282,27.32,28.57,45.18,34.09
I (Ilocos Region),Don Mariano Marcos Memorial State University,Mechanical Engineering,23,32,39,94,64,82,76,222,35.94,39.02,51.32,42.34
I (Ilocos Region),Don Mariano Marcos Memorial State University,Midwifery,30,33,29,92,92,58,51,201,32.61,56.9,56.86,45.77
I (Ilocos Region),Don Mariano Marcos Memorial State University,Nursing,70,65,57,192,124,105,116,345,56.45,61.9,49.14,55.65
I (Ilocos Region),Don Mariano Marcos Memorial State University,Veterinary Medicine,1,1,3,5,11,11,9,31,9.09,9.09,33.33,16.13
I (Ilocos Region),Ilocos Sur Polytechnic State College,Agricultural Engineering,0,0,-,0,1,2,-,3,0,0,0,0
I (Ilocos Region),Ilocos Sur Polytechnic State College,Agriculture,1,6,3,10,15,21,12,48,6.67,28.57,25,20.83
I (Ilocos Region),Ilocos Sur Polytechnic State College,Fisheries Technology,0,0,-,0,4,2,-,6,0,0,0,0
I (Ilocos Region),Ilocos Sur Polytechnic State College,LET-Elementary,34,37,106,177,117,124,156,397,29.06,29.84,67.95,44.58
I (Ilocos Region),Ilocos Sur Polytechnic State College,LET-Secondary,17,20,38,75,115,120,129,364,14.78,16.67,29.46,20.6
I (Ilocos Region),Mariano Marcos State University,Accountancy,45,36,33,114,74,55,53,182,60.81,65.45,62.26,62.64
I (Ilocos Region),Mariano Marcos State University,Agricultural Engineering,5,2,0,7,8,16,12,36,62.5,12.5,0,19.44
I (Ilocos Region),Mariano Marcos State University,Agriculture,15,17,30,62,27,37,61,125,55.56,45.95,49.18,49.6
I (Ilocos Region),Mariano Marcos State University,Chemical Engineering,1,1,3,5,7,6,8,21,14.29,16.67,37.5,23.81
I (Ilocos Region),Mariano Marcos State University,Civil Engineering,27,34,44,105,43,44,65,152,62.79,77.27,67.69,69.08
I (Ilocos Region),Mariano Marcos State University,Electrical Engineering,22,19,25,66,53,30,53,136,41.51,63.33,47.17,48.53
I (Ilocos Region),Mariano Marcos State University,Electronics Engineering,15,26,22,63,39,39,37,115,38.46,66.67,59.46,54.78
I (Ilocos Region),Mariano Marcos State University,Fisheries Technology,0,4,0,4,6,11,4,21,0,36.36,0,19.05
I (Ilocos Region),Mariano Marcos State University,Forestry,1,2,-,3,2,5,-,7,50,40,0,42.86
I (Ilocos Region),Mariano Marcos State University,Guidance Counseling,1,1,1,3,2,1,1,4,50,100,100,75
I (Ilocos Region),Mariano Marcos State University,LET-Elementary,123,116,203,442,198,211,229,638,62.12,54.98,88.65,69.28
I (Ilocos Region),Mariano Marcos State University,LET-Secondary,94,131,186,411,294,346,371,1011,31.97,37.86,50.13,40.65
I (Ilocos Region),Mariano Marcos State University,Library Science,0,0,0,0,1,1,1,3,0,0,0,0
I (Ilocos Region),Mariano Marcos State University,Mechanical Engineering,18,15,15,48,21,19,20,60,85.71,78.95,75,80
I (Ilocos Region),Mariano Marcos State University,Nursing,255,261,249,765,314,299,270,883,81.21,87.29,92.22,86.64
I (Ilocos Region),Mariano Marcos State University,Pharmacy,53,60,82,195,92,91,130,313,57.61,65.93,63.08,62.3
I (Ilocos Region),Mariano Marcos State University,Physical Therapy,24,33,27,84,29,47,48,124,82.76,70.21,56.25,67.74
I (Ilocos Region),North Luzon Philippines State College,Criminology,-,-,0,0,-,-,5,5,0,0,0,0
I (Ilocos Region),North Luzon Philippines State College,LET-Elementary,20,17,33,70,35,40,38,113,57.14,42.5,86.84,61.95
I (Ilocos Region),North Luzon Philippines State College,LET-Secondary,23,18,21,62,42,42,35,119,54.76,42.86,60,52.1
I (Ilocos Region),North Luzon Philippines State College,Midwifery,43,32,27,102,130,88,47,265,33.08,36.36,57.45,38.49
I (Ilocos Region),Pangasinan State University,Accountancy,-,0,-,0,-,2,-,2,0,0,0,0
I (Ilocos Region),Pangasinan State University,Agricultural Engineering,-,-,5,5,-,-,7,7,0,0,71.43,71.43
I (Ilocos Region),Pangasinan State University,Agriculture,10,4,13,27,26,22,57,105,38.46,18.18,22.81,25.71
I (Ilocos Region),Pangasinan State University,Architecture,8,2,3,13,9,3,5,17,88.89,66.67,60,76.47
I (Ilocos Region),Pangasinan State University,Civil Engineering,22,20,10,52,32,44,33,109,68.75,45.45,30.3,47.71
I (Ilocos Region),Pangasinan State University,Criminology,-,0,-,0,-,1,-,1,0,0,0,0
I (Ilocos Region),Pangasinan State University,Electrical Engineering,9,19,17,45,23,20,23,66,39.13,95,73.91,68.18
I (Ilocos Region),Pangasinan State University,Fisheries Technology,2,10,6,18,9,24,23,56,22.22,41.67,26.09,32.14
I (Ilocos Region),Pangasinan State University,Guidance Counseling,0,1,4,5,1,2,5,8,0,50,80,62.5
I (Ilocos Region),Pangasinan State University,LET-Elementary,149,159,401,709,606,703,708,2017,24.59,22.62,56.64,35.15
I (Ilocos Region),Pangasinan State University,LET-Secondary,196,293,423,912,953,1065,1157,3175,20.57,27.51,36.56,28.72
I (Ilocos Region),Pangasinan State University,Library Science,0,0,0,0,2,3,2,7,0,0,0,0
I (Ilocos Region),Pangasinan State University,Marine Transportation,1,-,-,1,2,-,-,2,50,0,0,50
I (Ilocos Region),Pangasinan State University,Mechanical Engineering,13,16,9,38,20,19,11,50,65,84.21,81.82,76
I (Ilocos Region),Pangasinan State University,Nursing,33,40,34,107,46,55,42,143,71.74,72.73,80.95,74.83
I (Ilocos Region),Pangasinan State University,Nutrition and Dietetics,5,8,9,22,19,24,22,65,26.32,33.33,40.91,33.85
I (Ilocos Region),Pangasinan State University,Pharmacy,-,0,-,0,-,1,-,1,0,0,0,0
I (Ilocos Region),Pangasinan State University,Social Work,9,13,14,36,19,23,31,73,47.37,56.52,45.16,49.32
I (Ilocos Region),University of Northern Philippines,Accountancy,17,19,22,58,20,23,25,68,85,82.61,88,85.29
I (Ilocos Region),University of Northern Philippines,Architecture,4,6,7,17,13,15,14,42,30.77,40,50,40.48
I (Ilocos Region),University of Northern Philippines,Civil Engineering,29,26,41,96,119,129,140,388,24.37,20.16,29.29,24.74
I (Ilocos Region),University of Northern Philippines,Criminology,101,155,158,414,319,364,455,1138,31.66,42.58,34.73,36.38
I (Ilocos Region),University of Northern Philippines,Geodetic Engineering,3,2,2,7,15,11,10,36,20,18.18,20,19.44
I (Ilocos Region),University of Northern Philippines,Guidance Counseling,1,2,2,5,1,4,4,9,100,50,50,55.56
I (Ilocos Region),University of Northern Philippines,Interior Design,0,-,-,0,1,-,-,1,0,0,0,0
I (Ilocos Region),University of Northern Philippines,LET-Elementary,24,37,65,126,92,101,93,286,26.09,36.63,69.89,44.06
I (Ilocos Region),University of Northern Philippines,LET-Secondary,26,37,68,131,116,147,139,402,22.41,25.17,48.92,32.59
I (Ilocos Region),University of Northern Philippines,Library Science,1,3,7,11,13,12,12,37,7.69,25,58.33,29.73
I (Ilocos Region),University of Northern Philippines,Medicine,10,7,2,19,19,17,12,48,52.63,41.18,16.67,39.58
I (Ilocos Region),University of Northern Philippines,Midwifery,220,171,118,509,425,371,204,1000,51.76,46.09,57.84,50.9
I (Ilocos Region),University of Northern Philippines,Nursing,378,378,317,1073,980,846,681,2507,38.57,44.68,46.55,42.8
I (Ilocos Region),University of Northern Philippines,Sanitary Engineering,-,0,-,0,-,2,-,2,0,0,0,0
I (Ilocos Region),University of Northern Philippines,Social Work,5,6,12,23,22,25,38,85,22.73,24,31.58,27.06
II (Cagayan Valley),Batanes State College,Agriculture,3,2,2,7,13,9,5,27,23.08,22.22,40,25.93
II (Cagayan Valley),Batanes State College,LET-Elementary,3,6,9,18,9,15,11,35,33.33,40,81.82,51.43
II (Cagayan Valley),Batanes State College,LET-Secondary,0,4,5,9,3,29,22,54,0,13.79,22.73,16.67
II (Cagayan Valley),Cagayan State University,Accountancy,8,14,11,33,13,20,14,47,61.54,70,78.57,70.21
II (Cagayan Valley),Cagayan State University,Agricultural Engineering,4,3,3,10,5,9,10,24,80,33.33,30,41.67
II (Cagayan Valley),Cagayan State University,Agriculture,10,13,15,38,38,43,68,149,26.32,30.23,22.06,25.5
II (Cagayan Valley),Cagayan State University,Chemical Engineering,3,8,7,18,8,13,18,39,37.5,61.54,38.89,46.15
II (Cagayan Valley),Cagayan State University,Chemistry,0,-,0,0,3,-,17,20,0,0,0,0
II (Cagayan Valley),Cagayan State University,Civil Engineering,28,19,35,82,46,47,62,155,60.87,40.43,56.45,52.9
II (Cagayan Valley),Cagayan State University,Criminology,39,32,64,135,55,38,76,169,70.91,84.21,84.21,79.88
II (Cagayan Valley),Cagayan State University,Customs ADM,0,-,-,0,1,-,-,1,0,0,0,0
II (Cagayan Valley),Cagayan State University,Electrical Engineering,12,21,12,45,32,31,15,78,37.5,67.74,80,57.69
II (Cagayan Valley),Cagayan State University,Electronics Engineering,4,8,32,44,22,23,43,88,18.18,34.78,74.42,50
II (Cagayan Valley),Cagayan State University,Fisheries Technology,4,4,6,14,8,10,18,36,50,40,33.33,38.89
II (Cagayan Valley),Cagayan State University,Guidance Counseling,6,7,3,16,10,13,5,28,60,53.85,60,57.14
II (Cagayan Valley),Cagayan State University,LET-Elementary,106,87,229,422,502,459,412,1373,21.12,18.95,55.58,30.74
II (Cagayan Valley),Cagayan State University,LET-Secondary,126,121,167,414,520,429,389,1338,24.23,28.21,42.93,30.94
II (Cagayan Valley),Cagayan State University,Marine Engineering,1,-,-,1,1,-,-,1,100,0,0,100
II (Cagayan Valley),Cagayan State University,Marine Transportation,1,-,1,2,1,-,1,2,100,0,100,100
II (Cagayan Valley),Cagayan State University,Medical Technology,11,35,2,48,12,37,2,51,91.67,94.59,100,94.12
II (Cagayan Valley),Cagayan State University,Medicine,13,13,18,44,20,16,20,56,65,81.25,90,78.57
II (Cagayan Valley),Cagayan State University,Veterinary Medicine,9,5,8,22,17,22,29,68,52.94,22.73,27.59,32.35
II (Cagayan Valley),Isabela State University,Accountancy,7,15,27,49,27,26,39,92,25.93,57.69,69.23,53.26
II (Cagayan Valley),Isabela State University,Agricultural Engineering,3,2,6,11,21,4,14,39,14.29,50,42.86,28.21
II (Cagayan Valley),Isabela State University,Agriculture,12,20,33,65,62,79,139,280,19.35,25.32,23.74,23.21
II (Cagayan Valley),Isabela State University,Architecture,-,-,2,2,-,-,4,4,0,0,50,50
II (Cagayan Valley),Isabela State University,Chemical Engineering,0,1,1,2,2,4,4,10,0,25,25,20
II (Cagayan Valley),Isabela State University,Chemistry,-,-,0,0,-,-,1,1,0,0,0,0
II (Cagayan Valley),Isabela State University,Civil Engineering,32,27,34,93,55,53,67,175,58.18,50.94,50.75,53.14
II (Cagayan Valley),Isabela State University,Criminology,83,165,168,416,163,274,371,808,50.92,60.22,45.28,51.49
II (Cagayan Valley),Isabela State University,Electrical Engineering,6,8,14,28,16,12,18,46,37.5,66.67,77.78,60.87
II (Cagayan Valley),Isabela State University,Fisheries Technology,-,1,1,2,-,2,1,3,0,50,100,66.67
II (Cagayan Valley),Isabela State University,Forestry,2,5,8,15,9,12,24,45,22.22,41.67,33.33,33.33
II (Cagayan Valley),Isabela State University,LET-Elementary,65,61,240,366,497,453,476,1426,13.08,13.47,50.42,25.67
II (Cagayan Valley),Isabela State University,LET-Secondary,126,158,199,483,861,861,794,2516,14.63,18.35,25.06,19.2
II (Cagayan Valley),Isabela State University,Midwifery,21,30,20,71,29,40,41,110,72.41,75,48.78,64.55
II (Cagayan Valley),Isabela State University,Nursing,109,123,104,336,222,238,180,640,49.1,51.68,57.78,52.5
II (Cagayan Valley),Isabela State University,Veterinary Medicine,2,8,6,16,17,22,17,56,11.76,36.36,35.29,28.57
II (Cagayan Valley),Nueva Vizcaya State University,Agricultural Engineering,1,8,4,13,9,21,9,39,11.11,38.1,44.44,33.33
II (Cagayan Valley),Nueva Vizcaya State University,Agriculture,8,6,17,31,27,26,34,87,29.63,23.08,50,35.63
II (Cagayan Valley),Nueva Vizcaya State University,Civil Engineering,3,12,8,23,43,37,48,128,6.98,32.43,16.67,17.97
II (Cagayan Valley),Nueva Vizcaya State University,Electrical Engineering,4,10,11,25,19,23,18,60,21.05,43.48,61.11,41.67
II (Cagayan Valley),Nueva Vizcaya State University,Electronics Engineering,2,6,5,13,14,11,10,35,14.29,54.55,50,37.14
II (Cagayan Valley),Nueva Vizcaya State University,Fisheries Technology,0,0,-,0,1,2,-,3,0,0,0,0
II (Cagayan Valley),Nueva Vizcaya State University,Forestry,5,2,4,11,10,6,6,22,50,33.33,66.67,50
II (Cagayan Valley),Nueva Vizcaya State University,Geodetic Engineering,-,-,1,1,-,-,2,2,0,0,50,50
II (Cagayan Valley),Nueva Vizcaya State University,LET-Elementary,68,93,190,351,203,258,272,733,33.5,36.05,69.85,47.89
II (Cagayan Valley),Nueva Vizcaya State University,LET-Secondary,60,87,136,283,279,308,316,903,21.51,28.25,43.04,31.34
II (Cagayan Valley),Nueva Vizcaya State University,Mechanical Engineering,8,9,18,35,25,23,28,76,32,39.13,64.29,46.05
II (Cagayan Valley),Nueva Vizcaya State University,Midwifery,-,0,-,0,-,1,-,1,0,0,0,0
II (Cagayan Valley),Nueva Vizcaya State University,Veterinary Medicine,0,0,1,1,9,6,16,31,0,0,6.25,3.23
II (Cagayan Valley),Quirino State College,Agriculture,1,1,0,2,2,2,4,8,50,50,0,25
II (Cagayan Valley),Quirino State College,Criminology,14,25,21,60,26,44,44,114,53.85,56.82,47.73,52.63
II (Cagayan Valley),Quirino State College,LET-Elementary,5,11,49,65,90,73,84,247,5.56,15.07,58.33,26.32
II (Cagayan Valley),Quirino State College,LET-Secondary,10,22,20,52,48,67,58,173,20.83,32.84,34.48,30.06
