region,suc_main,bacc,ms_ma,phd,total
I (Ilocos Region),Don Mariano Marcos Memorial State University,58,95,442,595
I (Ilocos Region),Ilocos Sur Polytechnic State College,95,42,13,150
I (Ilocos Region),Mariano Marcos State University,167,223,71,461
I (Ilocos Region),North Luzon Philippines State College,48,29,10,87
I (Ilocos Region),Pangasinan State University,183,279,102,564
I (Ilocos Region),University of Northern Philippines,182,218,71,471
II (Cagayan Valley),Batanes State College,23,13,1,37
II (Cagayan Valley),Cagayan State University,275,526,174,975
II (Cagayan Valley),Isabela State University,346,413,169,928
II (Cagayan Valley),Nueva Vizcaya State University,98,138,95,331
II (Cagayan Valley),Quirino State College,60,17,12,89
III (Central Luzon),Aurora State College of Technology,60,17,9,86
III (Central Luzon),Bataan Peninsula State University,226,223,59,508
III (Central Luzon),Bulacan Agricultural State College,44,41,21,106
III (Central Luzon),Bulacan State University,534,353,72,959
III (Central Luzon),Central Luzon State University,193,138,113,444
III (Central Luzon),Don Honorio Ventura Technological State University,168,108,31,307
III (Central Luzon),Nueva Ecija University of Science and Technology,161,262,50,473
III (Central Luzon),Pampanga Agricultural College,45,96,33,174
III (Central Luzon),Philippine Merchant Marine Academy,33,28,7,68
III (Central Luzon),Ramon Magsaysay Technological University,263,102,25,390
III (Central Luzon),Tarlac College of Agriculture,60,74,30,164
III (Central Luzon),Tarlac State University,140,101,62,303
IV-A (CALABARZON),Batangas State University,512,258,54,824
IV-A (CALABARZON),Cavite State University,481,285,61,827
IV-A (CALABARZON),Laguna State Polytechnic University,345,172,63,580
IV-A (CALABARZON),Southern Luzon State University,236,142,80,458
IV-A (CALABARZON),University of Rizal System,369,175,78,622
V (Bicol Region),Bicol University,370,279,129,778
V (Bicol Region),Camarines Norte State College,114,117,28,259
V (Bicol Region),Camarines Sur Polytechnic College,54,88,19,161
V (Bicol Region),Catanduanes State College,133,98,32,263
V (Bicol Region),Central Bicol State University of Agriculture,194,131,52,377
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,32,36,22,90
V (Bicol Region),Partido State University,112,106,50,268
V (Bicol Region),Sorsogon State College,99,114,34,247
VI (Western Visayas),Aklan State University,161,175,35,371
VI (Western Visayas),Capiz State University,252,215,91,558
VI (Western Visayas),Carlos C. Hilado Memorial State College,209,119,43,371
VI (Western Visayas),Guimaras State College,55,35,19,109
VI (Western Visayas),Iloilo State College of Fisheries,87,115,21,223
VI (Western Visayas),Negros State College of Agriculture,85,62,9,156
VI (Western Visayas),Northern Iloilo Polytechnic State College,240,104,32,376
VI (Western Visayas),Northern Negros State College of Science and Technology,62,49,4,115
VI (Western Visayas),University of Antique,83,34,6,123
VI (Western Visayas),West Visayas State University,437,339,96,872
VI (Western Visayas),Western Visayas College of Science and Technology,234,212,49,495
VII (Central Visayas),Bohol Island State University,247,134,42,423
VII (Central Visayas),Cebu Normal University,27,127,80,234
VII (Central Visayas),Cebu Technological University,467,286,170,923
VII (Central Visayas),Negros Oriental State University,214,158,52,424
VII (Central Visayas),Siquijor State College,33,35,18,86
VIII (Eastern Visayas),Eastern Samar State University,234,109,63,406
VIII (Eastern Visayas),Eastern Visayas State University,220,184,77,481
VIII (Eastern Visayas),Leyte Normal University,39,132,40,211
VIII (Eastern Visayas),Naval State University,153,108,42,303
VIII (Eastern Visayas),Northwest Samar State University,120,85,34,239
VIII (Eastern Visayas),Palompon Institute of Technology,103,61,29,193
VIII (Eastern Visayas),Samar State University,81,101,31,213
VIII (Eastern Visayas),Southern Leyte State University,142,114,36,292
VIII (Eastern Visayas),University of Eastern Philippines,129,175,83,387
VIII (Eastern Visayas),Visayas State University,185,186,131,502
IX (Zamboanga Peninsula),J. H. Cerilles State College,272,108,32,412
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,197,118,51,366
IX (Zamboanga Peninsula),Western Mindanao State University,485,62,4,551
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,38,53,6,97
IX (Zamboanga Peninsula),Zamboanga State College of Marine Sciences and Technology,56,59,16,131
X (Northern Mindanao),Bukidnon State University,867,299,81,1247
X (Northern Mindanao),Camiguin Polytechnic State College,36,55,7,98
X (Northern Mindanao),Central Mindanao University,141,144,78,363
X (Northern Mindanao),Mindanao University of Science and Technology,230,142,51,423
X (Northern Mindanao),Misamis Oriental State College of Agriculture and Technology,17,32,8,57
