particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
,,,,,,,,,,,
DEPARTMENTS,368986727,180511601,172921817,330197508,187645119,192461219,337946995,176885527,144287631,1,
,,,,,,,,,,,
   Congress of the Philippines,2777335,3190299,193914,3538300,3840012,189825,3311008,3810925,100000,1,
     Senate,869236,927124,50917,1250070,1082740,20325,1093719,1076038,0,,
        Senate Electoral Tribunal,39991,45775,2483,56644,67817,0,57671,34598,0,,
     Commission on Appointments,100006,185324,4504,114537,184061,0,117263,188233,0,,
     House of Representatives,1718982,1991983,135018,2055145,2471840,169500,1978837,2477663,100000,,
        House Electoral Tribunal,49120,40093,992,61904,33554,0,63518,34393,0,,
,,,,,,,,,,,
   Office of the President,1780504,3470132,468551,1713092,2551846,62170,1687913,2646127,32990,1,
     The President's Offices,1780504,3470132,468551,1713092,2551846,62170,1687913,2646127,32990,,
,,,,,,,,,,,
   Office of the Vice-President,31306,142790,6515,35080,147689,0,35902,151479,0,,
,,,,,,,,,,,
   Department of Agrarian Reform,4105718,4565536,1086759,4131814,5639143,3695842,4079607,8910735,6729764,1,
     Office of the Secretary,4105718,4565536,1086759,4131814,5639143,3695842,4079607,8910735,6729764,,
,,,,,,,,,,,
   Department of Agriculture,3121796,17890809,13793629,2938227,18573718,21053897,2900229,10487503,24440215,1,
     Office of the Secretary,2221720,16559620,13446215,2095062,16113694,19212491,2069800,8199255,22350641,,
     Agricultural Credit Policy Council,14982,6880,0,15000,7275,0,14897,7471,0,,
     Bureau of Fisheries and Aquatic Resources,367586,1000722,248366,349006,1341231,705922,345459,1554576,1405602,,
     Bureau of Post-Harvest Research and Extension,78102,11095,149,53767,41048,22953,53968,42087,15609,,
     Cotton Development Administration,42654,6648,0,38791,6630,1427,38585,7264,0,,
     Fertilizer and Pesticide Authority,26466,17012,27929,26260,22175,45695,26292,22980,44305,,
     Fiber Industry Development Authority,151746,37986,0,140982,78401,3710,136167,68118,7265,,
     Livestock Development Council,9060,1583,0,8286,9012,459,7802,9255,0,,
     National Agricultural and Fishery Council,43419,145158,30425,42412,651528,662835,40597,348853,144847,,
     National Meat Inspection Service,107176,45421,40545,109043,62008,30200,109150,58385,34000,,
     Philippine Carabao Center,58885,58684,0,59618,240716,368205,57512,169259,437946,,
,,,,,,,,,,,
   Department of Budget and Management,693755,234094,320505,347936,274287,227706,355268,374975,231300,1,
     Office of the Secretary,693755,234094,320505,347936,274287,227706,355268,374975,231300,,
,,,,,,,,,,,
   Department of Education,129548728,19421428,6735853,137863668,22767474,8837320,140794347,22259680,7788703,1,
     Office of the Secretary,129466723,19333436,6721024,137776581,22626753,8807025,140708861,22140256,7788703,,
     National Book Development Board,10051,11676,257,10860,21549,1000,10190,11404,0,,
     National Council for Children's Television,976,2545,261,1698,11281,295,1500,8265,0,,
     National Museum,60693,48809,6270,63051,75974,25000,62135,64956,0,,
     Philippine High School for the Arts,10285,24962,8041,11478,31917,4000,11661,34799,0,,
,,,,,,,,,,,
   State Universities and Colleges,17428169,2785174,962650,17683276,3618531,2926578,18095479,2914722,24212,1,
,,,,,,,,,,,
     National Capital Region,5906191,1084746,426086,5809141,1292853,2098531,6062004,957687,0,1,
        Eulogio 'Amang' Rodriguez Institute,,,,,,,,,,,
           of Science and Technology,92405,42753,6295,95892,23656,3012,96772,23073,0,,
        Marikina Polytechnic College,41405,11331,1292,52222,6326,3012,53306,5693,0,,
        Philippine Normal University,227899,45310,3012,229942,51864,18012,233760,53156,0,,
        Philippine State College of Aeronautics,46988,6454,26288,49648,8729,3012,50115,9383,0,,
        Polytechnic University of the Philippines,553452,88584,63900,561229,127896,15512,565830,95614,0,,
        Rizal Technological University,129127,20342,3079,133005,23386,3012,135247,21047,0,,
        Technological University of the Philippines,305922,42258,3012,314329,90873,3012,317751,69598,0,,
        University of the Philippines System,4508993,827714,319208,4372874,960123,2049947,4609223,680123,0,,
,,,,,,,,,,,
     Region I - ILOCOS,990731,149676,10922,1046955,177422,15060,1059328,164880,0,1,
        Don Mariano Marcos Memorial State University,316570,52238,1813,356523,51972,3012,358775,39550,0,,
        Ilocos Sur Polytechnic State College,78945,7047,4484,84505,9029,3012,85643,8907,0,,
        Mariano Marcos State University,244197,34832,0,253343,53642,3012,257856,48094,0,,
        Pangasinan State University,183735,31991,1837,182867,35200,3012,186761,37123,0,,
        University of Northern Philippines,167284,23568,2788,169717,27579,3012,170293,31206,0,,
,,,,,,,,,,,
