particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"154,297,442","42,948,291","4,928,781","6,233,080","628,507","72,236","20,090","2,562,862","18,966,359","1,537,169","1,089,172","349,233","1,804,931","519,361","1,074,608","337,652","4,757,559","17,384,147","566,883",0,"33,656,865","44,211,767","337,946,995"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,695,738",0,"242,505",0,"628,507","69,621","13,990",500,"203,490",0,"7,885",0,"16,890",0,"7,876",0,"52,739","174,163",0,0,"197,104",0,"3,311,008"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"521,142",0,"21,479",0,"319,197","15,221","5,347",0,"62,537",0,"2,591",0,"5,327",0,"2,586",0,"19,298","54,224",0,0,"64,770",0,"1,093,719"
               Senate Electoral Tribunal,"38,933",0,315,0,0,100,0,500,"4,672",0,204,0,414,0,204,0,"3,134","4,095",0,0,"5,100",0,"57,671"
          Commission on Appointments,"74,433",0,"5,583",0,0,560,"2,866",0,"8,932",0,346,0,761,0,344,0,"7,151","7,643",0,0,"8,644",0,"117,263"
          House of Representatives,"1,019,079",0,"215,128",0,"309,310","53,333","3,685",0,"122,290",0,"4,512",0,"9,716",0,"4,511",0,"20,750","103,723",0,0,"112,800",0,"1,978,837"
               House Electoral Tribunal,"42,151",0,0,0,0,407,"2,092",0,"5,059",0,232,0,672,0,231,0,"2,406","4,478",0,0,"5,790",0,"63,518"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"894,337",0,"320,392",0,0,0,0,0,"107,323",0,"6,831",0,"10,332",0,"6,831",0,"31,165","102,978",331,0,"207,393",0,"1,687,913"
