particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"6,937,215","2,304,132","24,987,765","600,496","41,147,749","5,836,951","103,308","30,837,306","6,696,099","7,103,198","867,279","2,502,896","22,170,486","22,697,668","1,130,821","890,852","1,400,959","6,382","132,733","522,611","1,429,245","78,068","127,382","180,511,601"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"720,011","115,761","22,923",344,"139,947","142,958",0,"2,681","95,567","8,281","114,408",0,"5,012","1,716,756","14,190","3,389","62,535",0,"21,514",0,"4,022",0,0,"3,190,299"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"109,207","18,347","4,795",24,"28,847","120,337",0,0,"34,561","1,047","51,387",0,748,"480,826","1,184",339,"55,943",0,"18,878",0,654,0,0,"927,124"
               Senate Electoral Tribunal,"1,720","1,147",742,0,"2,197",900,0,0,"1,883",33,"3,132",0,112,"33,371",0,0,278,0,260,0,0,0,0,"45,775"
          Commission on Appointments,971,"2,406",510,0,"4,712","20,120",0,0,333,125,"4,353",0,349,"148,185",822,314,"1,984",0,140,0,0,0,0,"185,324"
          House of Representatives,"607,842","93,216","16,720",185,"102,964",0,0,"2,681","56,000","6,825","52,657",0,"3,682","1,024,531","12,184","2,728","4,200",0,"2,200",0,"3,368",0,0,"1,991,983"
               House Electoral Tribunal,271,645,156,135,"1,227","1,601",0,0,"2,790",251,"2,879",0,121,"29,843",0,8,130,0,36,0,0,0,0,"40,093"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"722,801","106,226","283,083","1,204","270,996","73,367",0,"16,303","182,634","182,601","18,804","817,692","85,890","557,586","18,849","18,276","107,776",96,"4,323",44,"1,581",0,0,"3,470,132"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"722,801","106,226","283,083","1,204","270,996","73,367",0,"16,303","182,634","182,601","18,804","817,692","85,890","557,586","18,849","18,276","107,776",96,"4,323",44,"1,581",0,0,"3,470,132"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"7,590","3,627","4,556",0,"6,936","10,001",0,"70,886",791,94,385,"6,000",268,"10,455",0,0,"20,983",0,218,0,0,0,0,"142,790"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"352,633","64,665","88,450","1,751","286,888","150,898",43,"1,802,853","86,248","422,430","7,605",0,"29,368","880,155","17,854","57,531","36,347",1,755,"278,816",131,100,14,"4,565,536"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"352,633","64,665","88,450","1,751","286,888","150,898",43,"1,802,853","86,248","422,430","7,605",0,"29,368","880,155","17,854","57,531","36,347",1,755,"278,816",131,100,14,"4,565,536"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"536,609","128,374","487,378","1,663","4,922,264","93,242","53,458","9,308,999","184,616","385,594","7,753",0,"51,850","1,513,093","29,330","65,127","70,822",30,"1,316","1,587","12,427","34,295",982,"17,890,809"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"375,955","91,181","427,957",0,"4,502,549","56,096","47,951","9,298,921","122,706","306,014","4,991",0,"29,740","1,111,985","20,610","61,984","52,095",0,183,"1,587","12,153","33,980",982,"16,559,620"
          Agricultural Credit Policy Council,880,"1,015",134,0,840,"1,074",0,0,"1,294",33,110,0,44,"1,109",181,0,166,0,0,0,0,0,0,"6,880"
