Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"125,943","540,534","26,528","5,294,591","10,818,973","5,572,914","50,840","2,514,526","11,996,851","135,752,311","227,806",0,"172,921,817"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"2,980","164,296",0,"18,126","8,512",0,0,0,"193,914"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,"2,980","29,945",0,"9,901","8,091",0,0,0,"50,917"
               Senate Electoral Tribunal,0,0,0,0,0,"1,534",0,924,25,0,0,0,"2,483"
          Commission on Appointments,0,0,0,0,0,"1,807",0,"2,301",396,0,0,0,"4,504"
          House of Representatives,0,0,0,0,0,"130,018",0,"5,000",0,0,0,0,"135,018"
               House Electoral Tribunal,0,0,0,0,0,992,0,0,0,0,0,0,992
,,,,,,,,,,,,,
     Office of the President,0,0,0,"1,430","58,901","247,693",0,"125,478","35,049",0,0,0,"468,551"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,"1,430","58,901","247,693",0,"125,478","35,049",0,0,0,"468,551"
,,,,,,,,,,,,,
     Office of the Vice-President,0,0,0,0,0,"3,346",0,"1,115","2,054",0,0,0,"6,515"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,"17,321",0,"9,583","27,472",0,"4,248","51,432","976,703",0,0,"1,086,759"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,"17,321",0,"9,583","27,472",0,"4,248","51,432","976,703",0,0,"1,086,759"
,,,,,,,,,,,,,
     Department of Agriculture,0,"530,534","9,090","1,313,034","360,204","345,176","50,565","95,605","274,950","10,814,471",0,0,"13,793,629"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"530,534","9,090","1,273,833","205,996","297,174","50,565","42,113","222,439","10,814,471",0,0,"13,446,215"
          Bureau of Fisheries and Aquatic Resources,0,0,0,"11,272","132,076","32,339",0,"43,071","29,608",0,0,0,"248,366"
          Bureau of Post-Harvest Research and Extension,0,0,0,0,0,149,0,0,0,0,0,0,149
          Fertilizer and Pesticide Authority,0,0,0,"27,929",0,0,0,0,0,0,0,0,"27,929"
          National Agricultural and Fishery Council,0,0,0,0,"5,600","6,201",0,"2,221","16,403",0,0,0,"30,425"
          National Meat Inspection Service,0,0,0,0,"16,532","9,313",0,"8,200","6,500",0,0,0,"40,545"
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,559,"249,182","26,115",0,"38,514","6,135",0,0,0,"320,505"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,559,"249,182","26,115",0,"38,514","6,135",0,0,0,"320,505"
,,,,,,,,,,,,,
