Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,0,"1,451,367","422,701","1,600,018","11,663,155","4,511,923","1,320","1,836,139","4,888,476","116,583,089","1,329,443",0,"144,287,631"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"100,000",0,0,0,0,0,0,0,"100,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          House of Representatives,0,0,0,0,"100,000",0,0,0,0,0,0,0,"100,000"
,,,,,,,,,,,,,
     Office of the President,0,0,0,0,"18,000","14,990",0,0,0,0,0,0,"32,990"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,0,"18,000","14,990",0,0,0,0,0,0,"32,990"
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,"250,000","74,924","1,155",0,"50,497",0,"6,353,188",0,0,"6,729,764"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"250,000","74,924","1,155",0,"50,497",0,"6,353,188",0,0,"6,729,764"
,,,,,,,,,,,,,
     Department of Agriculture,0,"1,451,367","422,701","215,938","1,311,840","695,455","1,320","64,967","401,587","19,872,444","2,596",0,"24,440,215"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"1,351,367","54,755","45,900","353,856","561,226","1,320","10,923","96,254","19,872,444","2,596",0,"22,350,641"
          Bureau of Fisheries and Aquatic Resources,0,"100,000",0,"74,628","913,734","97,484",0,"50,035","169,721",0,0,0,"1,405,602"
          Bureau of Post-Harvest Research and Extension,0,0,0,0,0,0,0,0,"15,609",0,0,0,"15,609"
          Fertilizer and Pesticide Authority,0,0,0,0,0,"2,810",0,0,"41,495",0,0,0,"44,305"
          Fiber Industry Development Authority,0,0,0,"1,055",100,"1,185",0,0,"4,925",0,0,0,"7,265"
          National Agricultural and Fishery Council,0,0,0,"94,355","9,150","32,750",0,"4,009","4,583",0,0,0,"144,847"
          National Meat Inspection Service,0,0,0,0,"25,000",0,0,0,"9,000",0,0,0,"34,000"
          Philippine Carabao Center,0,0,"367,946",0,"10,000",0,0,0,"60,000",0,0,0,"437,946"
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,0,"120,000","111,300",0,0,0,0,0,0,"231,300"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"120,000","111,300",0,0,0,0,0,0,"231,300"
,,,,,,,,,,,,,
     Department of Education,0,0,0,"65,000","4,668,000","2,341,253",0,0,"714,450",0,0,0,"7,788,703"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"65,000","4,668,000","2,341,253",0,0,"714,450",0,0,0,"7,788,703"
,,,,,,,,,,,,,
     State Universities and Colleges,0,0,0,0,"24,212",0,0,0,0,0,0,0,"24,212"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Region VIII - EASTERN VISAYAS,0,0,0,0,"2,312",0,0,0,0,0,0,0,"2,312"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Samar State College of Agriculture and Forestry,0,0,0,0,"2,312",0,0,0,0,0,0,0,"2,312"
,,,,,,,,,,,,,
          Region XI - SOUTHEASTERN MINDANAO,0,0,0,0,"1,000",0,0,0,0,0,0,0,"1,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Davao del Norte State College,0,0,0,0,"1,000",0,0,0,0,0,0,0,"1,000"
,,,,,,,,,,,,,
          Region XII - CENTRAL MINDANAO,0,0,0,0,"3,612",0,0,0,0,0,0,0,"3,612"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Sultan Kudarat Polytechnic State College,0,0,0,0,"3,612",0,0,0,0,0,0,0,"3,612"
,,,,,,,,,,,,,
          Autonomous Region in Muslim Mindanao,0,0,0,0,"17,288",0,0,0,0,0,0,0,"17,288"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Adiong Memorial Polytechnic State College,0,0,0,0,800,0,0,0,0,0,0,0,800
               Basilan State College,0,0,0,0,"8,988",0,0,0,0,0,0,0,"8,988"
               Sulu State College,0,0,0,0,"7,500",0,0,0,0,0,0,0,"7,500"
,,,,,,,,,,,,,
     Department of Energy,0,0,0,0,0,"4,514",0,0,"39,890",0,0,0,"44,404"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"4,514",0,0,"39,890",0,0,0,"44,404"
,,,,,,,,,,,,,
     Department of Environment and Natural Resources,0,0,0,"17,000","19,785","540,300",0,0,"185,021",0,"1,326,847",0,"2,088,953"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"17,000",0,"534,500",0,0,0,0,"1,326,847",0,"1,878,347"
          Environmental Management Bureau,0,0,0,0,"19,785",0,0,0,"159,146",0,0,0,"178,931"
          Mines and Geo-Sciences Bureau,0,0,0,0,0,0,0,0,"25,875",0,0,0,"25,875"
          National Commission on Indigenous Peoples,0,0,0,0,0,"5,800",0,0,0,0,0,0,"5,800"
,,,,,,,,,,,,,
     Department of Finance,0,0,0,0,"66,189","296,590",0,800,0,0,0,0,"363,579"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"4,340",0,0,0,0,0,0,0,"4,340"
          Bureau of Customs,0,0,0,0,0,"246,000",0,0,0,0,0,0,"246,000"
          Bureau of Internal Revenue,0,0,0,0,"39,966",0,0,0,0,0,0,0,"39,966"
          Bureau of Local Government Finance,0,0,0,0,0,"6,036",0,800,0,0,0,0,"6,836"
          Cooperative Development Authority,0,0,0,0,"6,840","1,160",0,0,0,0,0,0,"8,000"
          Insurance Commission,0,0,0,0,"15,043","43,394",0,0,0,0,0,0,"58,437"
,,,,,,,,,,,,,
     Department of Foreign Affairs,0,0,0,0,"305,441","10,570",0,"69,000",0,0,0,0,"385,011"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"305,441","10,500",0,"69,000",0,0,0,0,"384,941"
          Technical Cooperation Council of the Philippines,0,0,0,0,0,70,0,0,0,0,0,0,70
,,,,,,,,,,,,,
     Department of Health,0,0,0,0,"4,419,981","173,655",0,0,"162,840","1,400,000",0,0,"6,156,476"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"4,419,981","173,655",0,0,"162,840","1,400,000",0,0,"6,156,476"
,,,,,,,,,,,,,
     Department of the Interior and Local Government,0,0,0,0,"139,458","10,000",0,"84,950","3,199,760",0,0,0,"3,434,168"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Bureau of Fire Protection,0,0,0,0,0,0,0,0,"1,105,048",0,0,0,"1,105,048"
          Bureau of Jail Management and Penology,0,0,0,0,"39,458",0,0,"84,950","94,712",0,0,0,"219,120"
          Philippine National Police,0,0,0,0,"100,000",0,0,0,"2,000,000",0,0,0,"2,100,000"
          Philippine Public Safety College,0,0,0,0,0,"10,000",0,0,0,0,0,0,"10,000"
,,,,,,,,,,,,,
     Department of Justice,0,0,0,0,"38,196","66,451",0,0,0,0,0,0,"104,647"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"52,443",0,0,0,0,0,0,"52,443"
          Bureau of Corrections,0,0,0,0,"20,196",0,0,0,0,0,0,0,"20,196"
          National Bureau of Investigation,0,0,0,0,"18,000",0,0,0,0,0,0,0,"18,000"
          Office of the Solicitor General,0,0,0,0,0,"4,008",0,0,0,0,0,0,"4,008"
          Public Attorney's Office,0,0,0,0,0,"10,000",0,0,0,0,0,0,"10,000"
,,,,,,,,,,,,,
     Department of Labor and Employment,0,0,0,"44,561","8,500","70,120",0,"1,500",0,0,0,0,"124,681"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"8,500","38,600",0,0,0,0,0,0,"47,100"
          Institute for Labor Studies,0,0,0,0,0,"1,410",0,0,0,0,0,0,"1,410"
          National Maritime Polytechnic,0,0,0,0,0,0,0,"1,500",0,0,0,0,"1,500"
          National Wages and Productivity Commission,0,0,0,0,0,"10,792",0,0,0,0,0,0,"10,792"
          Philippine Overseas Employment Administration,0,0,0,0,0,"19,318",0,0,0,0,0,0,"19,318"
          Professional Regulation Commission,0,0,0,"44,561",0,0,0,0,0,0,0,0,"44,561"
,,,,,,,,,,,,,
     Department of Public Works and Highways,0,0,0,0,0,0,0,0,0,"86,446,368",0,0,"86,446,368"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,0,0,0,0,"86,446,368",0,0,"86,446,368"
,,,,,,,,,,,,,
     Department of Science and Technology,0,0,0,0,"34,736","4,760",0,0,"3,000",0,0,0,"42,496"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"27,236",0,0,0,0,0,0,0,"27,236"
          Forest Products Research and Development Institute,0,0,0,0,"7,500",0,0,0,0,0,0,0,"7,500"
          National Academy of Science and Technology,0,0,0,0,0,210,0,0,0,0,0,0,210
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,,
                and Natural Resources Research and Development,0,0,0,0,0,450,0,0,0,0,0,0,450
          Philippine Institute of Volcanology and Seismology,0,0,0,0,0,0,0,0,"3,000",0,0,0,"3,000"
          Philippine Science High School,0,0,0,0,0,"4,100",0,0,0,0,0,0,"4,100"
,,,,,,,,,,,,,
     Department of Social Welfare and Development,0,0,0,0,"50,400","1,100",0,"1,300",0,0,0,0,"52,800"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"50,000",0,0,0,0,0,0,0,"50,000"
          Inter-Country Adoption Board,0,0,0,0,400,"1,100",0,"1,300",0,0,0,0,"2,800"
,,,,,,,,,,,,,
     Department of Tourism,0,0,0,0,"50,000",0,0,0,0,0,0,0,"50,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Intramuros Administration,0,0,0,0,"50,000",0,0,0,0,0,0,0,"50,000"
,,,,,,,,,,,,,
     Department of Trade and Industry,0,0,0,0,0,750,0,0,500,0,0,0,"1,250"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Philippine Trade Training Center,0,0,0,0,0,750,0,0,0,0,0,0,750
          Product Development and Design Center of the Philippines,0,0,0,0,0,0,0,0,500,0,0,0,500
,,,,,,,,,,,,,
     Department of Transportation and Communications,0,0,0,0,0,500,0,"1,555,535","55,000","2,456,048",0,0,"4,067,083"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,0,0,"1,555,535","5,000","2,456,048",0,0,"4,016,583"
          Civil Aeronautics Board,0,0,0,0,0,500,0,0,0,0,0,0,500
