flag,dsc,act_nga,act_gc,act_lgu,act_cred,adj_nga,adj_gc,adj_lgu,adj_cred,pro_nga,pro_gc,pro_lgu,pro_cred,seq_no
1,Personal Services,368986727,0,320973,0,428895644,0,32147,0,493937483,0,33026,0,1
1,Maintenance and Other Operating Expenses,180511601,0,13210131,0,226467611,0,10931314,0,223033992,0,6327946,0,2
1,Allotment to LGUs (IRA),0,0,168583791.2,0,0,0,199991093.6,0,0,0,212641901.6,0,3
1,Subsidy,0,69894834,0,0,0,13059707,0,0,0,14167887,0,0,5
1,Interest Payments,0,0,0,272218000,0,0,0,252550000,0,0,0,340812000,6
2,Infrastructure,140037834,0,3261409,0,154543783,0,3997058,0,119938624,0,4590245,0,1
2,Capital Transfer to LGUs (IRA),0,0,42145947.8,0,0,0,49997773.4,0,0,0,53160475.4,0,2
2,Special Shares to LGUs,0,0,3752393,0,0,0,11061273,0,0,0,13863463,0,3
2,Equity,0,4412937,0,0,0,6771200,0,0,0,6765200,0,0,4
2,Other Capital Outlays,32883983,0,0,0,55546186,0,0,0,36727757,0,0,0,5
3,NET LENDING,0,14393000,0,0,0,12157000,0,0,0,15000000,0,0,1
