roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
I.,CURRENT OPERATING EXPENDITURES,,,,,,
,,,,,,,
A.,PERSONAL SERVICES,,,,,,
,,,,,,,
,I.  Civilian Personnel,,,,,,
,,,,,,,
,     Permanent Positions,,,,,,
,               Salaries,142430264,152226678,152229196,154320471,,
,               Reclassification of Positions,8087,112763,112763,105718,,
,               Creation of New Positions,504778,7896644,7648479,5905583,1,
,,,,,,,
,          Total Salaries and other Lump-sums,142943129,160236085,159990438,160331772,1,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,4940373,5367516,5367684,5418860,,
,               Additional Compensation,14479771,16032594,16033098,16186530,,
,               Representation Allowance,2359075,2497390,2501805,2796444,,
,               Year-end Bonus,15777295,17146226,17145187,17386632,,
,               Overtime Pay,178416,0,0,0,,
,               Clothing and Uniform Allowance,3279493,3582769,3582917,3617001,,
,               Step Increments for Length of Service,0,380535,380624,386192,,
,               Productivity Incentive Benefits,1470215,1792184,1792114,1809338,,
,               Honoraria,873611,820006,820429,1961874,,
,               PEP/PerB/EA/CNA,13424226,0,0,0,1,
,,,,,,,
,          Total Other Compensation Common to All,56782475,47619220,47623858,49562871,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Conversion to Master Teachers,0,79215,79215,79620,,
,               Lump-sum for Personal Services,625214,1029550,1029550,628507,,
,               Magna Carta of Public Health Workers,991150,708476,708476,710471,,
,               Magna Carta for Science and Technology per R.A. 8439,219285,174383,174383,163669,,
,               Subsistence Allowance,90244,49363,49435,51408,,
,               Laundry Allowance,20802,2757,2757,912,,
,               Quarters Allowance,1522,2607,2607,2607,,
,               Bicycle Allowance,438,464,464,964,,
,               Special Duty Allowance,27936,27936,27936,27936,,
,               Overseas Allowance,3908683,4666372,4666372,4439401,,
,               Allowance of PAO Lawyers and Employees Assigned in Night Courts,576,576,576,576,,
,               RATA of Sectoral/Alternate Sectoral Representatives,1873,1873,1873,1873,,
,               Allowance of Attorney's de Officio,13,5486,5486,5486,,
,               Inquest Allowance,36923,55537,65537,60513,,
,               Medical Benefits,197,0,0,0,,
,               Lump-sum for Merit Promotion of UPS,14067,40000,40000,20000,,
,               Hardship Allowance,41192,189679,189679,189679,,
,               Hazard Pay,575931,72780,72780,72780,,
,               Night Differential Pay,23213,17789,17789,6724,,
,               Private Messenger Fee,480,670,670,670,,
,               Technical Incentive Allowance,14152,24487,24487,9868,,
,               Per Diems for Meetings,219149,113187,111972,2562862,,
,               Longevity Pay,140887,160554,160554,173207,,
,               Lump-sum for Compensation Differential,0,26919913,26919913,76496242,,
,               Lump-sum for NBC 308,2718,6041,6041,6041,,
,               Implementation of Equivalents Record Form,9583,136118,136118,136118,,
,               Loyalty Pay,218070,0,0,0,,
,               Monetization of Leave Credits,596959,0,0,0,,
,               Special Allowance for Judges and Justices,73676,165000,165000,165000,,
,               Special Allowance,161106,137907,376072,138649,,
,               Lumpsum for Upgrading of Positions,101382,56965,56965,0,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,8117421,34845685,35092707,86151783,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Retirement and Life Insurance Premiums,16861889,18645494,18645494,18969123,,
,               Retirement Benefits,6236520,8610107,8599952,10634419,,
,               Terminal Leave Benefits,9922245,17772288,17772443,23414586,,
,               PAG-IBIG Contributions,1002791,1079118,1079150,1089308,,
,               Medicare Premiums,1224901,1612357,1612726,1805199,,
,               Employees Compensation Insurance Premiums,940476,1043445,1043431,1074744,1,
,,,,,,,
,          Total Other Benefits,36188822,48762809,48753196,56987379,1,
,,,,,,,
,"     Total Compensation, Permanent Positions",244031847,291463799,291460199,353033805,1,
,,,,,,,
,     Non-Permanent Positions,,,,,,
,"          Contractual, Casual and Emergency Personnel",3593022,4161712,4155312,4177319,,
,          Substitute Teachers,511344,759716,759716,751462,1,
,,,,,,,
,     Total Compensation Non-Permanent Positions,4104366,4921428,4915028,4928781,1,
,,,,,,,
,"     Total Compensation, Civilian Personnel",248136213,296385227,296375227,357962586,1,
,,,,,,,
,II. Military/Uniformed Personnel,,,,,,
,,,,,,,
,"               Base Pay, Military",16990856,17777342,17777342,18007132,,
,"               Base Pay, Uniformed Personnel",23546781,24550976,24550976,24941159,1,
,,,,,,,
,          Total Basic Pay,40537637,42328318,42328318,42948291,1,
,,,,,,,
,,,,,,,
,          Other Compensation Common to All,,,,,,
,               Personnel Economic Relief Allowance,1660567,1705686,1705686,1745262,,
,               Additional Compensation,4985500,5172858,5172858,5270886,,
,               Year-end Benefits,4488468,4954167,4954167,5032937,,
,               Productivity Incentive Benefits,550023,564782,564782,579654,,
,               Clothing Allowance,1745124,938084,938084,944794,,
,               Longevity Pay,10626042,11255617,11255617,11608874,,
,               Subsistence Allowance,11254262,11383944,11383944,11619585,,
,               Laundry Allowance,55518,109856,109856,111998,,
,               Hazard Pay,990050,817959,817959,828157,,
,               Quarters Allowance,759950,1528238,1528238,1554748,1,
,,,,,,,
,          Total Other Compensation Common to All,37115504,38431191,38431191,39296895,1,
,,,,,,,
,          Other Compensation for Specific Groups,,,,,,
,               Lump-sum for Creation of New Positions,0,1093874,1093874,1537169,,
,               Other Subsistence Allowances,107679,167330,167330,240239,,
,               Allowances for Personnel Stationed Abroad,20000,20000,20000,20000,,
,               Special Clothing Allowances,716334,1515317,1515317,1676641,,
,               Specialist's Pay,16410,19888,19888,19887,,
,               Other Hazard Duty Pay,536629,769970,769970,838055,,
,               Combat Incentive Pay,0,10000,10000,10000,,
,               Incentive Pay,25272,115951,115951,131529,,
,               Sea Duty Pay,132123,126931,126931,127835,,
,               Instructor's Duty Pay,158186,171829,171829,172232,,
,               Reservist's Pay,200063,221265,221265,221265,,
,               Medal of Valor Award,7200,7200,7200,7200,,
,               Reenlistment Pay,27913,25672,25672,14555,,
,               Hospitalization Expenses,156206,56654,56654,56654,,
,               Magna Carta Benefits of Public Health Workers,38825,3937,3937,3120,,
,               Parachutist Pay,154756,154756,154756,154756,,
,               LOI 63 (AFA),214856,181485,181485,181485,,
,               Flying Pay,307875,167420,167420,160420,1,
,,,,,,,
,          Total Other Compensation for Specific Groups,2820327,4829479,4829479,5573042,1,
,,,,,,,
,          Other Benefits,,,,,,
,               Terminal Leave,235002,0,0,0,,
,               PAG-IBIG Contributions,338541,341498,341498,349233,,
,               Health Insurance Premiums,319562,320631,320631,519361,,
,               Special Group Term Insurance,19613,20462,20462,20854,,
,               Employees Compensation Insurance Premiums (ECIP),309840,330358,330358,337652,1,
,,,,,,,
,          Total Other Benefits,1222558,1012949,1012949,1227100,1,
,,,,,,,
,"     Total Compensation, Military/Uniformed Personnel",81696026,86601937,86601937,89045328,1,
,,,,,,,
,,,,,,,
,     Sub-Total Personal Services,329832239,382987164,382977164,447007914,1,
,,,,,,,
,     Other Personal Services,,,,,,
,"          Pensions, Military",30252521,34838873,34838873,33142657,,
,"          Pensions, Uniformed Personnel",8183391,9918175,9918175,12380110,,
,"          Pensions, Civilian",465187,548857,558857,581683,,
,          Other Police Benefits,574362,634722,634722,858145,1,
,,,,,,,
,     Total Other Personal Services,39475461,45940627,45950627,46962595,1,
,,,,,,,
,TOTAL PERSONAL SERVICES,369307700,428927791,428927791,493970509,1,
,,,,,,,
B.,Maintenance and Other Operating Expenses,,,,,,
,,,,,,,
,               002  Travelling Expenses,6943266,7822773,8105165,8495143,,
,               003  Communication Expenses,2306636,3448609,3605647,3492545,,
,               004  Repair and Maintenance,24988621,26075343,25971178,24752462,,
,               006  Transportation and Delivery Expenses,601926,586198,595521,2339454,,
,               007  Supplies and Materials,41277811,53656426,54741223,43400370,,
,               008  Rents,5843130,5615756,13786373,9634061,,
,               009  Interests,272321308,252653986,252653984,341019031,,
,               010  Subsidies and Donations,326145612,327110328,329041918,346794325,,
,               014  Utility Expenses,6705812,8497314,8518300,8198291,,
,               017  Training and Scholarship Expenses,7160583,12615084,14169660,9290629,,
,               018  Extraordinary and Miscellaneous Expenses,867389,697374,710265,702861,,
,               019  Confidential and Intelligence Expenses,2502896,1517929,1524929,1346355,,
,"               021  Taxes, Insurance Premiums and Other Fees",24124959,24755790,24785082,39966929,,
,               029  Professional Services,22805652,22213722,20240315,19172721,,
,               117  Printing and Binding Expenses,1131623,1428172,1436404,1207236,,
,               118  Advertising Expenses,891075,1139376,1143207,818412,,
,               119  Representation Expenses,1401915,1374549,1354737,1545746,,
,               121  Storage Expenses,6382,2912,2912,36470,,
,               122  Subscription Expenses,132796,280161,276835,276541,,
,               123  Survey Expenses,522611,1312501,1243008,1389180,,
,               124  Membership Dues and Contributions to Organizations,1429245,85130,85200,57687,,
,               126  Awards and Indemnities,78068,55017,54832,58117,,
,               127  Rewards and Other Claims,127382,12532,12077,13099,1,
,,,,,,,
,TOTAL MAINTENANCE AND OTHER OPERATING EXPENSES,750316698,752956982,764058772,864007665,1,
,,,,,,,
,TOTAL CURRENT OPERATING EXPENDITURES,1119624398,1181884773,1192986563,1357978174,1,
,,,,,,,
II.,CAPITAL OUTLAYS,,,,,,
,,,,,,,
,               031  Investment Outlay,1677448,6858761,6858761,6765200,,
,               032  Loans Outlay,3681649,1116862,1116862,1601367,,
,               033  Livestock and Crops Outlay,26528,1440519,1190519,422701,,
