region,division,gender,enrollment_2012,enrollment_2011,enrollment_2010,enrollment_2009,enrollment_2008,enrollment_2007,enrollment_2006,enrollment_2005
I (Ilocos Region),Ilocos Norte,Total,24491,23856,24026,23767,23615,23364,23398,23537
I (Ilocos Region),Ilocos Norte,Male,12444,12075,12041,11902,11730,11402,11516,11530
I (Ilocos Region),Ilocos Norte,Female,12047,11781,11985,11865,11885,11962,11882,12007
I (Ilocos Region),Ilocos Sur,Total,24560,24078,24297,24676,25572,24468,24075,23695
I (Ilocos Region),Ilocos Sur,Male,12487,12308,12478,12666,13214,12444,12049,11731
I (Ilocos Region),Ilocos Sur,Female,12073,11770,11819,12010,12358,12024,12026,11964
I (Ilocos Region),La Union,Total,37732,37620,37856,38116,38404,37646,37552,36993
I (Ilocos Region),La Union,Male,19384,19370,19352,19531,19744,19227,19021,18610
I (Ilocos Region),La Union,Female,18348,18250,18504,18585,18660,18419,18531,18383
I (Ilocos Region),"Pangasinan I, Lingayen",Total,89671,88530,89455,89392,92368,87696,85133,84520
I (Ilocos Region),"Pangasinan I, Lingayen",Male,45813,45183,45673,45726,47136,44375,42806,42314
I (Ilocos Region),"Pangasinan I, Lingayen",Female,43858,43347,43782,43666,45232,43321,42327,42206
I (Ilocos Region),"Pangasinan II, Binalonan",Total,68951,68303,71096,71703,71996,71039,69591,69372
I (Ilocos Region),"Pangasinan II, Binalonan",Male,34878,34760,36421,36634,36432,35778,34770,34388
I (Ilocos Region),"Pangasinan II, Binalonan",Female,34073,33543,34675,35069,35564,35261,34821,34984
I (Ilocos Region),Dagupan City,Total,10336,9901,9772,9542,9503,9286,8979,8642
I (Ilocos Region),Dagupan City,Male,5111,4890,4839,4749,4720,4601,4431,4183
I (Ilocos Region),Dagupan City,Female,5225,5011,4933,4793,4783,4685,4548,4459
I (Ilocos Region),Laoag City,Total,6625,6431,6354,6232,6280,6038,6051,6284
I (Ilocos Region),Laoag City,Male,3310,3263,3193,3016,3016,2833,2878,2951
I (Ilocos Region),Laoag City,Female,3315,3168,3161,3216,3264,3205,3173,3333
I (Ilocos Region),San Carlos City,Total,10985,10785,10985,10886,11005,11097,10917,10764
I (Ilocos Region),San Carlos City,Male,5473,5396,5529,5463,5426,5442,5316,5139
I (Ilocos Region),San Carlos City,Female,5512,5389,5456,5423,5579,5655,5601,5625
I (Ilocos Region),Urdaneta City,Total,10021,10023,10299,10408,10583,10274,10041,10037
I (Ilocos Region),Urdaneta City,Male,5106,5086,5257,5255,5331,5089,4923,4944
I (Ilocos Region),Urdaneta City,Female,4915,4937,5042,5153,5252,5185,5118,5093
I (Ilocos Region),Candon City,Total,3242,3129,3151,3235,3391,3363,3347,3248
