Tuition Fee Per Unit In SUC by Program Level,,,,,,,,,,,
as of 2010 to 2012,,,,,,,,,,,
,,,,,,,,,,,
Seq_No,Region,SUC,First_Sem_2010_11_BS_AB,First_Sem_2010_11_MS_MA,First_Sem_2010_11_PhD,First_Sem_2011_12_BS_AB,First_Sem_2011_12_MS_MA,First_Sem_2011_12_PhD,First_Sem_2012_13_BS_AB,First_Sem_2012_13_MS_MA,First_Sem_2012_13_PhD
1,Ilocos Region,DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY,100,230,300,100,230,300,100,230,300
2,,ILOCOS SUR POLYTECHNIC STATE COLLEGE,50,130,,50,130,,100,,
3,,MARIANO MARCOS STATE UNIVERSITY,100,200,300,100,200,300,100,200,300
4,,PANGASINAN STATE UNIVERSITY,100,,,150,,,,175,
5,,UNIVERSITY OF NORTHERN PHILIPPINES,100,120,180,100,120,180,100,120,180
6,,NORTH LUZON PHILIPPINE STATE COLLEGE,,,,100,,,100,,
7,Cagayan Valley,BATANES STATE COLLEGE,75,,,75,,,75,,
8,,CAGAYAN STATE UNIVERSITY,free tuition fee,free tuition fee,free tuition fee,free tuition fee,280,300,free tuition fee,280,300
9,,ISABELA STATE UNIVERSITY,100,300,400,100,300,400,100,300,400
10,,NUEVA VIZCAYA STATE UNIVERSITY,100,150,250,nds,nds,nds,100,150,250
11,,QUIRINO STATE COLLEGE,65,300,,65,300,,65,300,
12,Central Luzon,AURORA STATE COLLEGE OF TECHNOLOGY,60,400,,100,500,,100,500,
13,,BATAAN PENINSULA STATE UNIVERSITY,200,450,700,220,500,750,240,550,800
14,,BULACAN AGRICULTURAL STATE COLLEGE,110,330,400,nd,nd,nd,110,330,400
15,,BULACAN STATE UNIVERSITY,200,250,350,200,250,350,200,250,350
16,,CENTRAL LUZON STATE UNIVERSITY,110,250,300,121,250,300,133.1,250,300
17,,DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,170,250,350,nd,nd,nd,220,350,450
18,,NUEVA ECIJA UNIVERSITY OF SCIENCE AND TECHNOLOGY,140,400,500,140,400,500,180,400,400
19,,PAMPANGA AGRICULTURAL COLLEGE,100,250,350,100,250,350,100,250,350
20,,PHILIPPINE MERCHANT MARINE ACADEMY,nds,nds,nds,nds,nds,nds,nds,nds,nds
21,,RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY,120,300,500,120,300,500,120,300,500
22,,TARLAC COLLEGE OF AGRICULTURE,150,350,450,150,350,450,150,350,450
23,,TARLAC STATE UNIVERSITY,80 / 120,300,400,80 / 120,300,400,120,500,600
24,CALABARZON,BATANGAS STATE UNIVERSITY,250,500, none,250,500,700,250,500,750
25,,CAVITE STATE UNIVERSITY,225,275,275,225,275,275,225,275,275
26,,LAGUNA STATE POLYTECHNIC UNIVERSITY,100,300,500,100,300,500,100,300,500
27,,SOUTHERN LUZON STATE UNIVERSITY,100,500,600,100,500,600,100,500,600
28,,UNIVERSITY OF RIZAL SYSTEM,100,300,300,50 / 100,200,250,50 / 100,200,250
29,MIMAROPA,MARINDUQUE STATE COLLEGE,125,500,500,125.5,500,,145.5,500,500
30,,MINDORO STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,100,300,500,100,300,500,100,300,500
31,,OCCIDENTAL MINDORO STATE COLLEGE,100,350,,100,350,,100,500,500
32,,PALAWAN STATE UNIVERSITY,200,400,800,200,400,800,200,400,800
33,,ROMBLON STATE UNIVERSITY,100,300,,100,300,,100,300,
34,,WESTERN PHILIPPINE UNIVERSITY,150,400,600,150,400,600,200,400,600
35,Bicol Region,BICOL UNIVERSITY,175,400,500,175,400,500,175,400,500
36,,CAMARINES NORTE STATE COLLEGE,125,400,,125,400,,125,400,
37,,CAMARINES SUR POLYTECHNIC COLLEGE,150,500,,180,500,,180,500,
38,,CENTRAL BICOL STATE UNIVERSITY OF AGRICULTURE,100,200,300,100,200,300,175,400,500
39,,CATANDUANES STATE COLLEGE,100,150,200,100,150,200,100,150,
40,,DR. EMILIO B. ESPINOSA SR. MEMORIAL STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,150,300,500,150,400,600,150,400,600
41,,PARTIDO STATE UNIVERSITY,175,500,500,175,500,500,175,400,500
42,,SORSOGON STATE COLLEGE,150,200,,150,200,,150,200,
43,Western Visayas,AKLAN STATE UNIVERSITY,120,250,300,nd,nd,nd,120,250,300
44,,CAPIZ STATE UNIVERSITY,140,311,415,140,311,415,140,311,415
45,,CARLOS C. HILADO MEMORIAL STATE COLLEGE,150,300,400,150,300,400,150,300,400
46,,GUIMARAS STATE COLLEGE,142.5,300,400,nd,nd,nd,220,450,600
47,,ILOILO STATE COLLEGE OF FISHERIES,100,300,350,100,300,350,120,300,350
48,,NEGROS STATE COLLEGE OF AGRICULTURE,120,300,400,140,300,400,140,300,400
49,,NORTHERN ILOILO POLYTECHNIC STATE COLLEGE,100,300,400,100,300,400,100,300,400
50,,NORTHERN NEGROS STATE COLLEGE OF SCIENCE & TECH.,110,400,,110,300,400,150,400,500
51,,UNIVERSITY OF ANTIQUE,150,225,275,150,225,275,,,
52,,WEST VISAYAS STATE UNIVERSITY,150,437.5,500,nd,nd,nd,170,525,600
53,,WESTERN VISAYAS COLLEGE OF SCIENCE & TECHNOLOGY,200,500,700,200,500,600 / 800,200,500,600 / 800
54,Central Visayas,CEBU NORMAL UNIVERSITY,75,200,250,75,200,250,75,200,250
55,,CEBU TECHNOLOGICAL UNIVERSITY - MAIN,150,300,350,150,300,350,150,300,350
56,,BOHOL ISLAND STATE UNIVERSITY - BILAR,158.8,300,,nd,nd,nd,nd,nd,nd
57,,NEGROS ORIENTAL STATE UNIVERSITY,nd,nd,nd,nd,nd,nd,nd,nd,nd
58,,SIQUIJOR STATE COLLEGE,90,90,,90,90,,90,90,
59,Eastern Visayas,EASTERN SAMAR STATE COLLEGE,100,150,,100,150,150,100,150,150
60,,LEYTE INSTITUTE OF TECHNOLOGY,150,200,250,150,200,250,nd,nd,nd
61,,LEYTE NORMAL UNIVERSITY,150,200,300,150,200,300,150,200,300
62,,VISAYAS STATE UNIVERSITY,120,200,250,nd,nd,nd,120,250,250
63,,NAVAL INSTITUTE OF TECHNOLOGY,120,200,250,150,200,250,150,200,250
64,,PALOMPON INSTITUTE OF TECHNOLOGY,150,250,300,150,250,300,150,250,300
65,,SAMAR STATE UNIV (formerly Samar State Polytechnic College),100,200,300,100,200,300,nd,nd,nd
66,,SOUTHERN LEYTE STATE UNIVERSITY,150,200,,150,350,,150,350,
67,,NORWEST SAMAR STATE UNIVERSITY,120,125,200,nd,nd,nd,120,125,200
68,,UNIVERSITY OF EASTERN PHILIPPINE (Laoang campus),150,250,300,150,250,300,150,250,300
69,Zamboanga Peninsula,BASILAN STATE COLLEGE,100,100,530,30,100,350 / 530,30,350,350
70,,JOSE RIZAL MEMORIAL STATE COLLEGE,2500 regardless of the number of units,200,300,nds,nds,nds,2500 regardless of the number of units,200,300
71,,JOSEFINA H. CERILLES STATE COLLEGE,60,400,,60,400,,120,300,
72,,WESTERN MINDANAO STATE UNIVERSITY,30,220,350,30,220,350,30,220,350
73,,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,nds,nds,nds,75,250,250,75,250,250
74,,ZAMBOANGA STATE COLLEGE OF MARINE SCIENCE & TECH.,50,250,,100,250,,100,250,
75,Northern Mindanao,BUKIDNON STATE COLLEGE,225,400,600,225,400,500,225,400,500
76,,CAMIGUIN POLYTECHNIC STATE COLLEGE,550/sem,350,,550/sem,350,,550/sem,350,
77,,CENTRAL MINDANAO UNIVERSITY,90,540,735,90,540,735,150,540,735
78,,MINDANAO POLYTECHNIC STATE COLLEGE,nds,nds,nds,325,450,500 / 624,325,450,500
79,,MISAMIS ORIENTAL STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,150,250,,150,250,,150,250,600
80,,NORTHWESTERN MINDANAO STATE COLLEGE OF SCIENCE AND TECHNOLOGY,120,,,150,,,150,,
81,,MINDANAO STATE UNIVERSITY - ILIGAN INSTITUTE OF TECHNOLOGY,100,600,600,100,600,600,100,1500,1500
82,Davao Region,DAVAO DEL NORTE STATE COLLEGE,40,200,300,40,200,300,80,200,300
83,,DAVAO ORIENTAL STATE COLLEGE OF SCIENCE AND TECHNOLOGY,74,319,,74,319,,74,319,
84,,"SOUTHERN PHILIPPINES AGRICULTURE, BUSINESS, MARINE & AQUATIC SCH. OF TECH.",90,200,,nd,nd,,90,200,
85,,UNIVERSITY OF SOUTHEASTERN PHILIPPINES,200,300,300,nds,nds,nds,250,300,300
86,SOCCSKSARGEN,COTABATO CITY STATE POLYTECHNIC COLLEGE,nds,nds,nds,nds,nds,nds,120,180,270
87,,COTABATO FOUNDATION COLLEGE OF SCIENCE AND TECHNOLOGY,nds,nds,nds,nds,nds,nds,100,250,350
88,,SULTAN KUDARAT POLYTECHNIC STATE COLLEGE,150,300,400,150,300,400,150,300,400
89,,UNIVERSITY OF SOUTHERN MINDANAO,125,300,350,125,300,350,125,500,700
90,National Capital Region,"EULOGIO ""AMANG"" RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY",100,165,200,100,165,200,100,164,200
91,,MARIKINA POLYTECHNIC COLLEGE,100,300,300,100,300,300,100,300,300
92,,PHILIPPINE NORMAL UNIVERSITY,35,390,450,35,430,500,35,480,550
93,,PHILIPPINE STATE COLLEGE OF AERONAUTICS,200,600,600,200,600,600,200,600,600
94,,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,12,200,250,12,200,250,12,200,250
95,,RIZAL TECHNOLOGICAL UNIVERSITY,200,500,600,200,500,600,200,500,600
96,,TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES,150,200,300,nd,nd,nd,nd,nd,nd
97,,UNIVERSITY OF THE PHILIPPINES SYSTEM,1000,500,500,1000,500,500,1000,2500,2500
98,Cordillera Adm. Region,ABRA STATE INSTITUTE OF SCIENCE AND TECHNOLOGY,60,,,80,,,100,,
99,,APAYAO STATE COLLEGE,60,200,,60,200,,100,200,
100,,BENGUET STATE UNIVERSITY,nd,nd,nd,100,290,450,100,290,420
101,,IFUGAO STATE COLLEGE OF AGRICULTURE AND FORESTRY,60,150,325,60,300,325,100,300,325
102,,KALINGA-APAYAO STATE COLLEGE,60,160,250,nd,nd,nd,100,200,250
103,,MOUNTAIN PROVINCE STATE POLYTECHNIC COLLEGE,60,150,250,60,150,250,75,150,250
104,ARMM,ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,nds,nds,nds,nds,nds,nds,50,200,
105,,MINDANAO STATE UNIVERSITY,nds,nds,nds,7,300,300,50,300,400
106,,SULU STATE COLLEGE,nds,nds,nds,nd,nd,nd,nd,nd,nd
107,,TAWI-TAWI REGIONAL AGRICULTURAL COLLEGE,nds,nds,nds,nds,nds,nds,nds,nds,nds
108,,MINDANAO STATE UNIVERSITY - TAWI-TAWI COLLEGE OF TECHNOLOGY AND OCEANOGRAPHY,nds,nds,nds,25,70,,25,70,
109,CARAGA,AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE AND TECHNOLOGY,nds,nds,nds,100,,,100,300,
110,,NORTHERN MINDANAO STATE INSTITUTE OF SCIENCE & TECH.,200,300,300,200,300,300,200,300,450
111,,SURIGAO DEL SUR POLYTECHNIC STATE COLLEGE,150,250,500,150,250,500,175,250,500
112,,SURIGAO STATE COLLEGE OF TECHNOLOGY,100,350,,100,350,,100,350,600
,,,,,,,,,,,
,,,,,,,,,,,
Note:,,,,,,,,,,,
nd: No tuition fee data entry,,,,,,,,,,,
nds: No data submitted,,,,,,,,,,,
Based on the submission of State Universities and Colleges (SUCs),,,,,,,,,,,
"Data of SUCs as of April 16, 2013",,,,,,,,,,,
